"Year.ID.ForecastYear.Quarter","YEAR FORECAST MADE","YEAR BEING FORECAST","QUARTER","FORECASTER ID","INDUSTRY","BIN 1","BIN 2","BIN 3","BIN 4","BIN 5","BIN 6","BIN 7","BIN 8","BIN 9","BIN 10","INDICATOR","TDIST"
"2007-20-2007-1",2007,2007,1,20,2,0,0,20,40,40,0,0,0,0,0,"Core CPI",0.75
"2007-84-2007-1",2007,2007,1,84,1,,,,,,,,,,,"Core CPI",0.75
"2007-405-2007-1",2007,2007,1,405,1,,,,,,,,,,,"Core CPI",0.75
"2007-407-2007-1",2007,2007,1,407,2,0,0,10,70,20,0,0,0,0,0,"Core CPI",0.75
"2007-411-2007-1",2007,2007,1,411,2,0,0,3,30,45,20,2,0,0,0,"Core CPI",0.75
"2007-420-2007-1",2007,2007,1,420,2,0,0,0,20,60,20,0,0,0,0,"Core CPI",0.75
"2007-421-2007-1",2007,2007,1,421,2,0,0,5,15,50,25,5,0,0,0,"Core CPI",0.75
"2007-424-2007-1",2007,2007,1,424,1,1,1,1,18,65,10,1,1,1,1,"Core CPI",0.75
"2007-426-2007-1",2007,2007,1,426,2,0,10,40,40,5,5,0,0,0,0,"Core CPI",0.75
"2007-428-2007-1",2007,2007,1,428,2,,,,,,,,,,,"Core CPI",0.75
"2007-431-2007-1",2007,2007,1,431,1,0,0,0,25,50,25,0,0,0,0,"Core CPI",0.75
"2007-433-2007-1",2007,2007,1,433,2,0,0,0,30,60,10,0,0,0,0,"Core CPI",0.75
"2007-446-2007-1",2007,2007,1,446,2,,,,,,,,,,,"Core CPI",0.75
"2007-448-2007-1",2007,2007,1,448,2,0,5,5,20,50,10,10,0,0,0,"Core CPI",0.75
"2007-456-2007-1",2007,2007,1,456,1,0,0,0,5,45,45,5,0,0,0,"Core CPI",0.75
"2007-463-2007-1",2007,2007,1,463,2,0,1,9,40,40,9,1,0,0,0,"Core CPI",0.75
"2007-472-2007-1",2007,2007,1,472,2,0,0,0,0,70,30,0,0,0,0,"Core CPI",0.75
"2007-483-2007-1",2007,2007,1,483,3,2,3,4,8,15,25,20,15,8,0,"Core CPI",0.75
"2007-484-2007-1",2007,2007,1,484,2,0,0,2,27,35,26,9,1,0,0,"Core CPI",0.75
"2007-497-2007-1",2007,2007,1,497,1,,,,,,,,,,,"Core CPI",0.75
"2007-504-2007-1",2007,2007,1,504,1,0,0,0,20,50,30,0,0,0,0,"Core CPI",0.75
"2007-507-2007-1",2007,2007,1,507,3,0,0,3,10,62,20,5,0,0,0,"Core CPI",0.75
"2007-508-2007-1",2007,2007,1,508,2,0,0,0,4,46,44,5,1,0,0,"Core CPI",0.75
"2007-510-2007-1",2007,2007,1,510,2,0,0,0,25,25,25,25,0,0,0,"Core CPI",0.75
"2007-512-2007-1",2007,2007,1,512,2,0,0,10,50,40,0,0,0,0,0,"Core CPI",0.75
"2007-516-2007-1",2007,2007,1,516,1,0,0,0,10,30,30,20,9.9,0.1,0,"Core CPI",0.75
"2007-518-2007-1",2007,2007,1,518,2,0,0,2,3,20,50,20,3,2,0,"Core CPI",0.75
"2007-519-2007-1",2007,2007,1,519,1,0,5,10,20,30,20,10,5,0,0,"Core CPI",0.75
"2007-520-2007-1",2007,2007,1,520,2,0,0,10,20,60,10,0,0,0,0,"Core CPI",0.75
