Year.ID.ForecastYear.Quarter,YEAR FORECAST MADE,YEAR BEING FORECAST,QUARTER,FORECASTER ID,INDUSTRY,BIN 1,BIN 2,BIN 3,BIN 4,BIN 5,BIN 6,BIN 7,BIN 8,BIN 9,BIN 10,INDICATOR,TDIST
2009-20-2009-2,2009,2009,2,20,2.0,0.0,0.0,0.0,15.0,80.0,5.0,0.0,0.0,0.0,0.0,Unemployment,0.5
2009-84-2009-2,2009,2009,2,84,1.0,0.0,1.0,15.0,75.0,9.0,0.0,0.0,0.0,0.0,0.0,Unemployment,0.5
2009-407-2009-2,2009,2009,2,407,2.0,0.0,0.0,10.0,85.0,5.0,0.0,0.0,0.0,0.0,0.0,Unemployment,0.5
2009-411-2009-2,2009,2009,2,411,2.0,0.0,0.0,0.0,10.0,60.0,30.0,0.0,0.0,0.0,0.0,Unemployment,0.5
2009-420-2009-2,2009,2009,2,420,2.0,0.0,0.0,30.0,65.0,5.0,0.0,0.0,0.0,0.0,0.0,Unemployment,0.5
2009-421-2009-2,2009,2009,2,421,2.0,5.0,10.0,30.0,30.0,25.0,0.0,0.0,0.0,0.0,0.0,Unemployment,0.5
2009-423-2009-2,2009,2009,2,423,2.0,,,,,,,,,,,Unemployment,0.5
2009-424-2009-2,2009,2009,2,424,1.0,1.0,1.0,19.5,44.0,29.5,1.0,1.0,1.0,1.0,1.0,Unemployment,0.5
2009-426-2009-2,2009,2009,2,426,2.0,0.0,0.0,0.0,15.0,45.0,35.0,5.0,0.0,0.0,0.0,Unemployment,0.5
2009-428-2009-2,2009,2009,2,428,2.0,,,,,,,,,,,Unemployment,0.5
2009-431-2009-2,2009,2009,2,431,1.0,0.0,0.0,20.0,50.0,30.0,0.0,0.0,0.0,0.0,0.0,Unemployment,0.5
2009-433-2009-2,2009,2009,2,433,2.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,Unemployment,0.5
2009-446-2009-2,2009,2009,2,446,2.0,0.0,5.0,20.0,40.0,30.0,5.0,0.0,0.0,0.0,0.0,Unemployment,0.5
2009-463-2009-2,2009,2009,2,463,2.0,0.0,5.0,35.0,40.0,20.0,0.0,0.0,0.0,0.0,0.0,Unemployment,0.5
2009-472-2009-2,2009,2009,2,472,2.0,0.0,0.0,5.0,90.0,5.0,0.0,0.0,0.0,0.0,0.0,Unemployment,0.5
2009-483-2009-2,2009,2009,2,483,3.0,15.0,20.0,35.0,22.0,6.0,2.0,0.0,0.0,0.0,0.0,Unemployment,0.5
2009-484-2009-2,2009,2009,2,484,2.0,3.0,12.0,20.0,27.0,20.0,15.0,3.0,0.0,0.0,0.0,Unemployment,0.5
2009-498-2009-2,2009,2009,2,498,1.0,0.0,10.0,10.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,Unemployment,0.5
2009-504-2009-2,2009,2009,2,504,1.0,0.0,10.0,40.0,40.0,10.0,0.0,0.0,0.0,0.0,0.0,Unemployment,0.5
2009-506-2009-2,2009,2009,2,506,2.0,0.0,0.0,20.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,Unemployment,0.5
2009-507-2009-2,2009,2009,2,507,3.0,0.0,0.0,20.0,75.0,5.0,0.0,0.0,0.0,0.0,0.0,Unemployment,0.5
2009-508-2009-2,2009,2009,2,508,2.0,6.0,21.0,45.0,21.0,6.0,1.0,0.0,0.0,0.0,0.0,Unemployment,0.5
2009-510-2009-2,2009,2009,2,510,2.0,0.0,0.0,0.0,20.0,80.0,0.0,0.0,0.0,0.0,0.0,Unemployment,0.5
2009-512-2009-2,2009,2009,2,512,2.0,5.0,20.0,20.0,50.0,5.0,0.0,0.0,0.0,0.0,0.0,Unemployment,0.5
2009-516-2009-2,2009,2009,2,516,1.0,0.0,5.0,35.0,50.0,10.0,0.0,0.0,0.0,0.0,0.0,Unemployment,0.5
2009-518-2009-2,2009,2009,2,518,2.0,0.0,5.0,15.0,60.0,15.0,5.0,0.0,0.0,0.0,0.0,Unemployment,0.5
2009-520-2009-2,2009,2009,2,520,2.0,0.0,0.0,40.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,Unemployment,0.5
2009-523-2009-2,2009,2009,2,523,2.0,2.8,2.3,4.6,9.3,29.4,25.5,12.7,6.4,3.2,3.8,Unemployment,0.5
2009-524-2009-2,2009,2009,2,524,2.0,5.0,10.0,20.0,30.0,20.0,10.0,5.0,0.0,0.0,0.0,Unemployment,0.5
2009-526-2009-2,2009,2009,2,526,2.0,0.0,10.0,20.0,60.0,10.0,0.0,0.0,0.0,0.0,0.0,Unemployment,0.5
2009-527-2009-2,2009,2009,2,527,2.0,0.0,0.0,40.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,Unemployment,0.5
2009-528-2009-2,2009,2009,2,528,1.0,0.0,0.0,0.0,70.0,30.0,0.0,0.0,0.0,0.0,0.0,Unemployment,0.5
2009-531-2009-2,2009,2009,2,531,1.0,0.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,Unemployment,0.5
2009-535-2009-2,2009,2009,2,535,1.0,0.0,0.0,10.0,50.0,40.0,0.0,0.0,0.0,0.0,0.0,Unemployment,0.5
2009-538-2009-2,2009,2009,2,538,2.0,0.0,5.0,30.0,60.0,5.0,0.0,0.0,0.0,0.0,0.0,Unemployment,0.5
2009-540-2009-2,2009,2009,2,540,2.0,0.0,0.0,0.0,40.0,40.0,20.0,0.0,0.0,0.0,0.0,Unemployment,0.5
2009-541-2009-2,2009,2009,2,541,1.0,,,,,,,,,,,Unemployment,0.5
2009-542-2009-2,2009,2009,2,542,1.0,0.0,5.0,20.0,50.0,20.0,5.0,0.0,0.0,0.0,0.0,Unemployment,0.5
2009-543-2009-2,2009,2009,2,543,1.0,0.0,0.0,10.0,50.0,40.0,0.0,0.0,0.0,0.0,0.0,Unemployment,0.5
2009-544-2009-2,2009,2009,2,544,1.0,0.0,0.0,2.0,50.0,48.0,0.0,0.0,0.0,0.0,0.0,Unemployment,0.5
2009-546-2009-2,2009,2009,2,546,1.0,5.0,20.0,30.0,35.0,8.0,2.0,0.0,0.0,0.0,0.0,Unemployment,0.5
2009-548-2009-2,2009,2009,2,548,2.0,0.0,0.0,10.0,70.0,20.0,0.0,0.0,0.0,0.0,0.0,Unemployment,0.5
2009-549-2009-2,2009,2009,2,549,1.0,0.0,0.0,45.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,Unemployment,0.5
2009-551-2009-2,2009,2009,2,551,2.0,,,,,,,,,,,Unemployment,0.5
2009-553-2009-2,2009,2009,2,553,2.0,0.0,10.0,45.0,40.0,5.0,0.0,0.0,0.0,0.0,0.0,Unemployment,0.5
