"Year.ID.ForecastYear.Quarter","YEAR FORECAST MADE","YEAR BEING FORECAST","QUARTER","FORECASTER ID","INDUSTRY","BIN 1","BIN 2","BIN 3","BIN 4","BIN 5","BIN 6","BIN 7","BIN 8","BIN 9","BIN 10","BIN 11","BIN 12","BIN 13","BIN 14","BIN 15","INDICATOR","TDIST"
"1968-1-1968-4",1968,1968,4,1,,0,0,0,0,60,30,10,0,0,0,0,0,0,0,0,"NominalGNP",0
"1968-2-1968-4",1968,1968,4,2,,0,0,0,20,40,20,20,0,0,0,0,0,0,0,0,"NominalGNP",0
"1968-3-1968-4",1968,1968,4,3,,0,0,0,40,50,10,0,0,0,0,0,0,0,0,0,"NominalGNP",0
"1968-4-1968-4",1968,1968,4,4,,0,0,5,15,40,25,10,5,0,0,0,0,0,0,0,"NominalGNP",0
"1968-5-1968-4",1968,1968,4,5,,3,4,5,5,10,10,30,10,10,5,3,2,1,1,1,"NominalGNP",0
"1968-6-1968-4",1968,1968,4,6,,0,0,0,10,20,25,25,10,10,0,0,0,0,0,0,"NominalGNP",0
"1968-7-1968-4",1968,1968,4,7,,2,10,20,30,30,5,2,1,0,0,0,0,0,0,0,"NominalGNP",0
"1968-8-1968-4",1968,1968,4,8,,0,0,0,0,20,80,0,0,0,0,0,0,0,0,0,"NominalGNP",0
"1968-9-1968-4",1968,1968,4,9,,1,4,6,10,15,20,20,15,5,4,0,0,0,0,0,"NominalGNP",0
"1968-10-1968-4",1968,1968,4,10,,0,0,8,42,25,15,5,4,1,0,0,0,0,0,0,"NominalGNP",0
"1968-11-1968-4",1968,1968,4,11,,0,0,0,5,15,50,20,10,0,0,0,0,0,0,0,"NominalGNP",0
"1968-12-1968-4",1968,1968,4,12,,0,0,35,27,18,10,5,5,0,0,0,0,0,0,0,"NominalGNP",0
"1968-13-1968-4",1968,1968,4,13,,0,0,5,20,40,20,10,5,0,0,0,0,0,0,0,"NominalGNP",0
"1968-14-1968-4",1968,1968,4,14,,,,,,,,,,,,,,,,,"NominalGNP",0
"1968-15-1968-4",1968,1968,4,15,,0,0,0,10,75,10,5,0,0,0,0,0,0,0,0,"NominalGNP",0
"1968-16-1968-4",1968,1968,4,16,,0,0,0,0,0,50,20,20,10,0,0,0,0,0,0,"NominalGNP",0
"1968-17-1968-4",1968,1968,4,17,,60,0,35,0,0,0,0,0,0,0,0,5,0,0,0,"NominalGNP",0
"1968-18-1968-4",1968,1968,4,18,,0,0,0,0,0,0,5,50,30,10,5,0,0,0,0,"NominalGNP",0
"1968-19-1968-4",1968,1968,4,19,,0,3,5,8,15,25,25,10,6,3,0,0,0,0,0,"NominalGNP",0
"1968-20-1968-4",1968,1968,4,20,,0,0,0,0,0,0,0,0,0,5,90,5,0,0,0,"NominalGNP",0
"1968-21-1968-4",1968,1968,4,21,,0,0,5,55,35,5,0,0,0,0,0,0,0,0,0,"NominalGNP",0
"1968-22-1968-4",1968,1968,4,22,,0,0,5,10,75,5,5,0,0,0,0,0,0,0,0,"NominalGNP",0
"1968-23-1968-4",1968,1968,4,23,,0,0,0,10,60,20,10,0,0,0,0,0,0,0,0,"NominalGNP",0
"1968-24-1968-4",1968,1968,4,24,,0,5,10,20,30,20,10,5,0,0,0,0,0,0,0,"NominalGNP",0
"1968-25-1968-4",1968,1968,4,25,,5,5,15,30,15,10,5,5,5,5,0,0,0,0,0,"NominalGNP",0
"1968-26-1968-4",1968,1968,4,26,,0,2,10,20,40,15,8,5,0,0,0,0,0,0,0,"NominalGNP",0
"1968-27-1968-4",1968,1968,4,27,,0,0,0,0,50,40,10,0,0,0,0,0,0,0,0,"NominalGNP",0
"1968-29-1968-4",1968,1968,4,29,,0,0,10,30,50,10,0,0,0,0,0,0,0,0,0,"NominalGNP",0
"1968-30-1968-4",1968,1968,4,30,,0,0,5,35,35,20,5,0,0,0,0,0,0,0,0,"NominalGNP",0
"1968-31-1968-4",1968,1968,4,31,,0,0,10,60,30,0,0,0,0,0,0,0,0,0,0,"NominalGNP",0
"1968-32-1968-4",1968,1968,4,32,,0,0,5,25,50,20,0,0,0,0,0,0,0,0,0,"NominalGNP",0
"1968-33-1968-4",1968,1968,4,33,,3,5,6,10,13,20,13,10,6,5,3,2,2,1,1,"NominalGNP",0
"1968-34-1968-4",1968,1968,4,34,,0,0,5,10,50,25,10,0,0,0,0,0,0,0,0,"NominalGNP",0
"1968-35-1968-4",1968,1968,4,35,,0,0,0,0,10,80,10,0,0,0,0,0,0,0,0,"NominalGNP",0
"1968-36-1968-4",1968,1968,4,36,,0,5,10,20,50,10,5,0,0,0,0,0,0,0,0,"NominalGNP",0
"1968-37-1968-4",1968,1968,4,37,,0,1,2,3,3,4,8,20,25,20,10,2,1,1,0,"NominalGNP",0
"1968-38-1968-4",1968,1968,4,38,,0,0,30,60,10,0,0,0,0,0,0,0,0,0,0,"NominalGNP",0
"1968-39-1968-4",1968,1968,4,39,,0,0,0,10,70,15,5,0,0,0,0,0,0,0,0,"NominalGNP",0
"1968-40-1968-4",1968,1968,4,40,,,,,,,,,,,,,,,,,"NominalGNP",0
"1968-41-1968-4",1968,1968,4,41,,0,0,0,100,1,0,0,0,0,0,0,0,0,0,0,"NominalGNP",0
"1968-42-1968-4",1968,1968,4,42,,0,0,20,50,30,0,0,0,0,0,0,0,0,0,0,"NominalGNP",0
"1968-43-1968-4",1968,1968,4,43,,0,0,10,60,20,10,0,0,0,0,0,0,0,0,0,"NominalGNP",0
"1968-45-1968-4",1968,1968,4,45,,1,2,5,20,50,10,5,3,2,1,1,0,0,0,0,"NominalGNP",0
"1968-46-1968-4",1968,1968,4,46,,0,0,10,20,40,20,10,0,0,0,0,0,0,0,0,"NominalGNP",0
"1968-47-1968-4",1968,1968,4,47,,0,10,35,35,15,5,0,0,0,0,0,0,0,0,0,"NominalGNP",0
"1968-48-1968-4",1968,1968,4,48,,1,5,20,40,20,10,3,1,0,0,0,0,0,0,0,"NominalGNP",0
"1968-49-1968-4",1968,1968,4,49,,2,4,8,16,26,25,10,5,2,1,0,0,1,0,0,"NominalGNP",0
"1968-50-1968-4",1968,1968,4,50,,1,2,15,20,25,15,10,4,2,1,1,1,1,1,1,"NominalGNP",0
"1968-51-1968-4",1968,1968,4,51,,0,0,3,80,12,5,0,0,0,0,0,0,0,0,0,"NominalGNP",0
"1968-52-1968-4",1968,1968,4,52,,0,5,20,25,25,10,10,5,0,0,0,0,0,0,0,"NominalGNP",0
"1968-53-1968-4",1968,1968,4,53,,5,10,15,40,15,10,5,0,0,0,0,0,0,0,0,"NominalGNP",0
"1968-54-1968-4",1968,1968,4,54,,0,0,5,25,60,10,0,0,0,0,0,0,0,0,0,"NominalGNP",0
"1968-55-1968-4",1968,1968,4,55,,0,0,15,70,15,0,0,0,0,0,0,0,0,0,0,"NominalGNP",0
"1968-56-1968-4",1968,1968,4,56,,0,0,10,80,10,0,0,0,0,0,0,0,0,0,0,"NominalGNP",0
"1968-57-1968-4",1968,1968,4,57,,0,10,10,20,30,20,10,0,0,0,0,0,0,0,0,"NominalGNP",0
"1968-58-1968-4",1968,1968,4,58,,0,0,5,15,60,15,5,0,0,0,0,0,0,0,0,"NominalGNP",0
"1968-59-1968-4",1968,1968,4,59,,1,2,13,35,25,12,6,3,1,1,1,0,0,0,0,"NominalGNP",0
"1968-60-1968-4",1968,1968,4,60,,0,0,0,10,15,65,10,0,0,0,0,0,0,0,0,"NominalGNP",0
"1968-61-1968-4",1968,1968,4,61,,0,0,10,10,70,10,0,0,0,0,0,0,0,0,0,"NominalGNP",0
"1968-62-1968-4",1968,1968,4,62,,0,1,4,12,35,20,12,6,4,3,2,1,0,0,0,"NominalGNP",0
"1968-63-1968-4",1968,1968,4,63,,0,0,0,10,20,40,20,10,0,0,0,0,0,0,0,"NominalGNP",0
"1968-64-1968-4",1968,1968,4,64,,0,0,10,15,25,25,13,5,3,3,1,0,0,0,0,"NominalGNP",0
"1968-65-1968-4",1968,1968,4,65,,0,14,53,33,0,0,0,0,0,0,0,0,0,0,0,"NominalGNP",0
"1968-66-1968-4",1968,1968,4,66,,0,0,3,95,2,0,0,0,0,0,0,0,0,0,0,"NominalGNP",0
"1968-67-1968-4",1968,1968,4,67,,2,5,7,13,15,12,10,8,7,6,5,4,3,2,1,"NominalGNP",0
"1968-68-1968-4",1968,1968,4,68,,0,0,5,10,25,25,20,10,5,0,0,0,0,0,0,"NominalGNP",0
"1968-69-1968-4",1968,1968,4,69,,0,0,0,0,5,20,25,25,20,5,0,0,0,0,0,"NominalGNP",0
"1968-70-1968-4",1968,1968,4,70,,0,0,0,10,30,50,10,0,0,0,0,0,0,0,0,"NominalGNP",0
"1968-71-1968-4",1968,1968,4,71,,0,0,0,15,40,30,15,0,0,0,0,0,0,0,0,"NominalGNP",0
"1968-72-1968-4",1968,1968,4,72,,0,0,5,40,50,5,0,0,0,0,0,0,0,0,0,"NominalGNP",0
"1968-73-1968-4",1968,1968,4,73,,0,0,5,20,40,20,10,5,0,0,0,0,0,0,0,"NominalGNP",0
"1968-74-1968-4",1968,1968,4,74,,0,10,15,60,10,5,0,0,0,0,0,0,0,0,0,"NominalGNP",0
"1968-75-1968-4",1968,1968,4,75,,5,10,15,20,15,10,7,5,4,3,2,1,1,1,1,"NominalGNP",0
"1968-76-1968-4",1968,1968,4,76,,0,0,10,30,30,20,10,0,0,0,0,0,0,0,0,"NominalGNP",0
"1968-77-1968-4",1968,1968,4,77,,15,6,7,7,10,10,10,10,8,6,3,2,2,2,2,"NominalGNP",0
"1968-78-1968-4",1968,1968,4,78,,0,0,10,20,40,30,0,0,0,0,0,0,0,0,0,"NominalGNP",0
"1968-79-1968-4",1968,1968,4,79,,0,0,0,0,0,0,15,40,40,5,0,0,0,0,0,"NominalGNP",0
"1968-80-1968-4",1968,1968,4,80,,0,0,0,0,80,15,5,0,0,0,0,0,0,0,0,"NominalGNP",0
"1968-81-1968-4",1968,1968,4,81,,0,10,15,25,40,10,0,0,0,0,0,0,0,0,0,"NominalGNP",0
"1968-82-1968-4",1968,1968,4,82,,0,0,0,20,60,20,0,0,0,0,0,0,0,0,0,"NominalGNP",0
"1968-83-1968-4",1968,1968,4,83,,0,0,0,90,10,0,0,0,0,0,0,0,0,0,0,"NominalGNP",0
