Year,Period,Value,periodName,latest,footnotes
1980,M01,0.319,,,
1980,M02,0.345,,,
1980,M03,0.355,,,
1980,M04,0.353,,,
1980,M05,0.357,,,
1980,M06,0.348,,,
1980,M07,0.332,,,
1980,M08,0.335,,,
1980,M09,0.335,,,
1980,M10,0.335,,,
1980,M11,0.339,,,
1980,M12,0.349,,,
1981,M01,0.343,,,
1981,M02,0.366,,,
1981,M03,0.377,,,
1981,M04,0.377,,,
1981,M05,0.379,,,
1981,M06,0.369,,,
1981,M07,0.341,,,
1981,M08,0.351,,,
1981,M09,0.358,,,
1981,M10,0.364,,,
1981,M11,0.355,,,
1981,M12,0.364,,,
1982,M01,0.364,,,
1982,M02,0.359,,,
1982,M03,0.373,,,
1982,M04,0.38,,,
1982,M05,0.372,,,
1982,M06,0.381,,,
1982,M07,0.344,,,
1982,M08,0.332,,,
1982,M09,0.343,,,
1982,M10,0.317,,,
1982,M11,0.344,,,
1982,M12,0.337,,,
1983,M01,0.332,,,
1983,M02,0.352,,,
1983,M03,0.357,,,
1983,M04,0.416,,,
1983,M05,0.438,,,
1983,M06,0.449,,,
1983,M07,0.462,,,
1983,M08,0.403,,,
1983,M09,0.394,,,
1983,M10,0.385,,,
1983,M11,0.327,,,
1983,M12,0.315,,,
1984,M01,0.344,,,
1984,M02,0.373,,,
1984,M03,0.373,,,
1984,M04,0.389,,,
1984,M05,0.354,,,
1984,M06,0.391,,,
1984,M07,0.386,,,
1984,M08,0.362,,,
1984,M09,0.35,,,
1984,M10,0.341,,,
1984,M11,0.333,,,
1984,M12,0.317,,,
1985,M01,0.35,,,
1985,M02,0.378,,,
1985,M03,0.394,,,
1985,M04,0.422,,,
1985,M05,0.392,,,
1985,M06,0.399,,,
1985,M07,0.348,,,
1985,M08,0.361,,,
1985,M09,0.376,,,
1985,M10,0.346,,,
1985,M11,0.316,,,
1985,M12,0.321,,,
1986,M01,0.337,,,
1986,M02,0.378,,,
1986,M03,0.402,,,
1986,M04,0.464,,,
1986,M05,0.461,,,
1986,M06,0.376,,,
1986,M07,0.371,,,
1986,M08,0.369,,,
1986,M09,0.384,,,
1986,M10,0.372,,,
1986,M11,0.371,,,
1986,M12,0.333,,,
1987,M03,0.376,,,
1987,M04,0.381,,,
1987,M05,0.357,,,
1987,M06,0.39,,,
1987,M07,0.35,,,
1987,M08,0.367,,,
1987,M09,0.363,,,
1987,M10,0.346,,,
1987,M11,0.343,,,
1987,M12,0.375,,,
1988,M01,0.374,,,
1988,M02,0.415,,,
1988,M03,0.413,,,
1988,M04,0.423,,,
1988,M05,0.422,,,
1988,M06,0.501,,,
1988,M07,0.433,,,
1988,M08,0.397,,,
1988,M09,0.389,,,
1988,M10,0.421,,,
1988,M11,0.423,,,
1988,M12,0.407,,,
1989,M01,0.394,,,
1989,M02,0.415,,,
1989,M03,0.45,,,
1989,M04,0.523,,,
1989,M05,0.522,,,
1989,M06,0.479,,,
1989,M07,0.456,,,
1989,M08,0.434,,,
1989,M09,0.428,,,
1989,M10,0.432,,,
1989,M11,0.435,,,
1989,M12,0.416,,,
1990,M01,0.429,,,
1990,M02,0.492,,,
1990,M03,0.5,,,
1990,M04,0.481,,,
1990,M05,0.462,,,
1990,M06,0.447,,,
1990,M07,0.529,,,
1990,M08,0.463,,,
1990,M09,0.465,,,
1990,M10,0.432,,,
1990,M11,0.429,,,
1990,M12,0.43,,,
1991,M01,0.438,,,
1991,M02,0.485,,,
1991,M03,0.577,,,
1991,M04,0.547,,,
1991,M05,0.584,,,
1991,M06,0.532,,,
1991,M07,0.516,,,
1991,M08,0.416,,,
1991,M09,0.432,,,
1991,M10,0.395,,,
1991,M11,0.431,,,
1991,M12,0.419,,,
1992,M01,0.428,,,
1992,M02,0.493,,,
1992,M03,0.517,,,
1992,M04,0.484,,,
1992,M05,0.445,,,
1992,M06,0.463,,,
1992,M07,0.431,,,
1992,M08,0.509,,,
1992,M09,0.459,,,
1992,M10,0.442,,,
1992,M11,0.422,,,
1992,M12,0.404,,,
1993,M01,0.426,,,
1993,M02,0.475,,,
1993,M03,0.475,,,
1993,M04,0.483,,,
1993,M05,0.472,,,
1993,M06,0.446,,,
1993,M07,0.448,,,
1993,M08,0.422,,,
1993,M09,0.395,,,
1993,M10,0.405,,,
1993,M11,0.404,,,
1993,M12,0.414,,,
1994,M01,0.44,,,
1994,M02,0.514,,,
1994,M03,0.5,,,
