Series ID,Year,Period,Label,Value
APU0000703112,1984,M01,1984 Jan,1.290
APU0000703112,1984,M02,1984 Feb,1.340
APU0000703112,1984,M03,1984 Mar,1.308
APU0000703112,1984,M04,1984 Apr,1.331
APU0000703112,1984,M05,1984 May,1.301
APU0000703112,1984,M06,1984 Jun,1.269
APU0000703112,1984,M07,1984 Jul,1.249
APU0000703112,1984,M08,1984 Aug,1.280
APU0000703112,1984,M09,1984 Sep,1.268
APU0000703112,1984,M10,1984 Oct,1.246
APU0000703112,1984,M11,1984 Nov,1.266
APU0000703112,1984,M12,1984 Dec,1.298
APU0000703112,1985,M01,1985 Jan,1.284
APU0000703112,1985,M02,1985 Feb,1.283
APU0000703112,1985,M03,1985 Mar,1.282
APU0000703112,1985,M04,1985 Apr,1.267
APU0000703112,1985,M05,1985 May,1.213
APU0000703112,1985,M06,1985 Jun,1.205
APU0000703112,1985,M07,1985 Jul,1.200
APU0000703112,1985,M08,1985 Aug,1.207
APU0000703112,1985,M09,1985 Sep,1.205
APU0000703112,1985,M10,1985 Oct,1.189
APU0000703112,1985,M11,1985 Nov,1.238
APU0000703112,1985,M12,1985 Dec,1.277
APU0000703112,1986,M01,1986 Jan,1.275
APU0000703112,1986,M02,1986 Feb,1.263
APU0000703112,1986,M03,1986 Mar,1.267
APU0000703112,1986,M04,1986 Apr,1.219
APU0000703112,1986,M05,1986 May,1.187
APU0000703112,1986,M06,1986 Jun,1.165
APU0000703112,1986,M07,1986 Jul,1.189
APU0000703112,1986,M08,1986 Aug,1.225
APU0000703112,1986,M09,1986 Sep,1.234
APU0000703112,1986,M10,1986 Oct,1.225
APU0000703112,1986,M11,1986 Nov,1.278
APU0000703112,1986,M12,1986 Dec,1.257
APU0000703112,1987,M01,1987 Jan,1.300
APU0000703112,1987,M02,1987 Feb,1.271
APU0000703112,1987,M03,1987 Mar,1.278
APU0000703112,1987,M04,1987 Apr,1.294
APU0000703112,1987,M05,1987 May,1.318
APU0000703112,1987,M06,1987 Jun,1.301
APU0000703112,1987,M07,1987 Jul,1.313
APU0000703112,1987,M08,1987 Aug,1.322
APU0000703112,1987,M09,1987 Sep,1.323
APU0000703112,1987,M10,1987 Oct,1.326
APU0000703112,1987,M11,1987 Nov,1.351
APU0000703112,1987,M12,1987 Dec,1.322
APU0000703112,1988,M01,1988 Jan,1.314
APU0000703112,1988,M02,1988 Feb,1.315
APU0000703112,1988,M03,1988 Mar,1.342
APU0000703112,1988,M04,1988 Apr,1.336
APU0000703112,1988,M05,1988 May,1.365
APU0000703112,1988,M06,1988 Jun,1.388
APU0000703112,1988,M07,1988 Jul,1.373
APU0000703112,1988,M08,1988 Aug,1.370
APU0000703112,1988,M09,1988 Sep,1.372
APU0000703112,1988,M10,1988 Oct,1.394
APU0000703112,1988,M11,1988 Nov,1.409
APU0000703112,1988,M12,1988 Dec,1.399
APU0000703112,1989,M01,1989 Jan,1.397
APU0000703112,1989,M02,1989 Feb,1.366
APU0000703112,1989,M03,1989 Mar,1.434
APU0000703112,1989,M04,1989 Apr,1.424
APU0000703112,1989,M05,1989 May,1.437
APU0000703112,1989,M06,1989 Jun,1.436
APU0000703112,1989,M07,1989 Jul,1.438
APU0000703112,1989,M08,1989 Aug,1.447
APU0000703112,1989,M09,1989 Sep,1.458
APU0000703112,1989,M10,1989 Oct,1.449
APU0000703112,1989,M11,1989 Nov,1.491
APU0000703112,1989,M12,1989 Dec,1.501
APU0000703112,1990,M01,1990 Jan,1.557
APU0000703112,1990,M02,1990 Feb,1.572
APU0000703112,1990,M03,1990 Mar,1.571
APU0000703112,1990,M04,1990 Apr,1.593
APU0000703112,1990,M05,1990 May,1.577
APU0000703112,1990,M06,1990 Jun,1.593
APU0000703112,1990,M07,1990 Jul,1.581
APU0000703112,1990,M08,1990 Aug,1.576
APU0000703112,1990,M09,1990 Sep,1.594
APU0000703112,1990,M10,1990 Oct,1.582
APU0000703112,1990,M11,1990 Nov,1.622
APU0000703112,1990,M12,1990 Dec,1.630
APU0000703112,1991,M01,1991 Jan,1.647
APU0000703112,1991,M02,1991 Feb,1.632
APU0000703112,1991,M03,1991 Mar,1.610
APU0000703112,1991,M04,1991 Apr,1.611
APU0000703112,1991,M05,1991 May,1.624
APU0000703112,1991,M06,1991 Jun,1.604
APU0000703112,1991,M07,1991 Jul,1.586
APU0000703112,1991,M08,1991 Aug,1.578
APU0000703112,1991,M09,1991 Sep,1.553
APU0000703112,1991,M10,1991 Oct,1.552
APU0000703112,1991,M11,1991 Nov,1.567
APU0000703112,1991,M12,1991 Dec,1.577
APU0000703112,1992,M01,1992 Jan,1.601
APU0000703112,1992,M02,1992 Feb,1.587
APU0000703112,1992,M03,1992 Mar,1.545
APU0000703112,1992,M04,1992 Apr,1.563
APU0000703112,1992,M05,1992 May,1.545
APU0000703112,1992,M06,1992 Jun,1.535
APU0000703112,1992,M07,1992 Jul,1.487
APU0000703112,1992,M08,1992 Aug,1.533
APU0000703112,1992,M09,1992 Sep,1.521
APU0000703112,1992,M10,1992 Oct,1.546
APU0000703112,1992,M11,1992 Nov,1.535
APU0000703112,1992,M12,1992 Dec,1.500
APU0000703112,1993,M01,1993 Jan,1.565
APU0000703112,1993,M02,1993 Feb,1.562
APU0000703112,1993,M03,1993 Mar,1.562
APU0000703112,1993,M04,1993 Apr,1.588
APU0000703112,1993,M05,1993 May,1.560
APU0000703112,1993,M06,1993 Jun,1.562
APU0000703112,1993,M07,1993 Jul,1.577
APU0000703112,1993,M08,1993 Aug,1.573
APU0000703112,1993,M09,1993 Sep,1.551
APU0000703112,1993,M10,1993 Oct,1.556
APU0000703112,1993,M11,1993 Nov,1.600
APU0000703112,1993,M12,1993 Dec,1.574
APU0000703112,1994,M01,1994 Jan,1.561
APU0000703112,1994,M02,1994 Feb,1.555
APU0000703112,1994,M03,1994 Mar,1.576
APU0000703112,1994,M04,1994 Apr,1.482
APU0000703112,1994,M05,1994 May,1.489
APU0000703112,1994,M06,1994 Jun,1.511
APU0000703112,1994,M07,1994 Jul,1.456
APU0000703112,1994,M08,1994 Aug,1.460
APU0000703112,1994,M09,1994 Sep,1.463
APU0000703112,1994,M10,1994 Oct,1.416
APU0000703112,1994,M11,1994 Nov,1.376
APU0000703112,1994,M12,1994 Dec,1.380
APU0000703112,1995,M01,1995 Jan,1.381
APU0000703112,1995,M02,1995 Feb,1.426
APU0000703112,1995,M03,1995 Mar,1.392
APU0000703112,1995,M04,1995 Apr,1.365
APU0000703112,1995,M05,1995 May,1.322
APU0000703112,1995,M06,1995 Jun,1.333
APU0000703112,1995,M07,1995 Jul,1.365
APU0000703112,1995,M08,1995 Aug,1.328
APU0000703112,1995,M09,1995 Sep,1.376
APU0000703112,1995,M10,1995 Oct,1.371
APU0000703112,1995,M11,1995 Nov,1.368
APU0000703112,1995,M12,1995 Dec,1.403
APU0000703112,1996,M01,1996 Jan,1.350
APU0000703112,1996,M02,1996 Feb,1.403
APU0000703112,1996,M03,1996 Mar,1.375
APU0000703112,1996,M04,1996 Apr,1.354
APU0000703112,1996,M05,1996 May,1.319
APU0000703112,1996,M06,1996 Jun,1.324
APU0000703112,1996,M07,1996 Jul,1.352
APU0000703112,1996,M08,1996 Aug,1.391
APU0000703112,1996,M09,1996 Sep,1.360
APU0000703112,1996,M10,1996 Oct,1.371
APU0000703112,1996,M11,1996 Nov,1.403
APU0000703112,1996,M12,1996 Dec,1.424
APU0000703112,1997,M01,1997 Jan,1.409
APU0000703112,1997,M02,1997 Feb,1.398
