Year,Period,Value,periodName,latest,footnotes
1992,M01,0.726,,,
1992,M02,0.73,,,
1992,M03,0.747,,,
1992,M04,0.746,,,
1992,M05,0.752,,,
1992,M06,0.757,,,
1992,M07,0.771,,,
1992,M08,0.776,,,
1992,M09,0.756,,,
1992,M10,0.752,,,
1992,M11,0.747,,,
1992,M12,0.738,,,
1993,M01,0.748,,,
1993,M02,0.751,,,
1993,M03,0.742,,,
1993,M04,0.744,,,
1993,M05,0.752,,,
1993,M06,0.752,,,
1993,M07,0.762,,,
1993,M08,0.745,,,
1993,M09,0.748,,,
1993,M10,0.75,,,
1993,M11,0.771,,,
1993,M12,0.76,,,
1994,M01,0.768,,,
1994,M02,0.756,,,
1994,M03,0.755,,,
1994,M04,0.765,,,
1994,M05,0.765,,,
1994,M06,0.761,,,
1994,M07,0.759,,,
1994,M08,0.753,,,
1994,M09,0.776,,,
1994,M10,0.756,,,
1994,M11,0.766,,,
1994,M12,0.748,,,
1995,M01,0.767,,,
1995,M02,0.767,,,
1995,M03,0.775,,,
1995,M04,0.776,,,
1995,M05,0.768,,,
1995,M06,0.781,,,
1995,M07,0.789,,,
1995,M08,0.797,,,
1995,M09,0.808,,,
1995,M10,0.809,,,
1995,M11,0.821,,,
1995,M12,0.837,,,
1996,M01,0.86,,,
1996,M02,0.858,,,
1996,M03,0.852,,,
1996,M04,0.865,,,
1996,M05,0.869,,,
1996,M06,0.886,,,
1996,M07,0.889,,,
1996,M08,0.915,,,
1996,M09,0.886,,,
1996,M10,0.873,,,
1996,M11,0.88,,,
1996,M12,0.875,,,
1997,M01,0.862,,,
1997,M02,0.858,,,
1997,M03,0.855,,,
1997,M04,0.855,,,
1997,M05,0.854,,,
1997,M06,0.874,,,
1997,M07,0.872,,,
1997,M08,0.872,,,
1997,M09,0.885,,,
1997,M10,0.899,,,
1997,M11,0.897,,,
1997,M12,0.884,,,
1998,M01,0.855,,,
1998,M02,0.86,,,
1998,M03,0.853,,,
1998,M04,0.863,,,
1998,M05,0.866,,,
1998,M06,0.859,,,
1998,M07,0.867,,,
1998,M08,0.869,,,
1998,M09,0.86,,,
1998,M10,0.849,,,
1998,M11,0.855,,,
1998,M12,0.866,,,
1999,M01,0.872,,,
1999,M02,0.88,,,
1999,M03,0.883,,,
1999,M04,0.897,,,
1999,M05,0.886,,,
1999,M06,0.885,,,
1999,M07,0.893,,,
1999,M08,0.884,,,
1999,M09,0.878,,,
1999,M10,0.889,,,
1999,M11,0.899,,,
1999,M12,0.899,,,
2000,M01,0.907,,,
2000,M02,0.924,,,
2000,M03,0.924,,,
2000,M04,0.927,,,
2000,M05,0.915,,,
2000,M06,0.915,,,
2000,M07,0.935,,,
2000,M08,0.923,,,
2000,M09,0.918,,,
2000,M10,0.934,,,
2000,M11,0.953,,,
2000,M12,0.987,,,
2001,M01,0.982,,,
2001,M02,0.994,,,
2001,M03,1.02,,,
2001,M04,1.008,,,
2001,M05,0.995,,,
2001,M06,0.989,,,
2001,M07,0.987,,,
2001,M08,0.991,,,
2001,M09,0.996,,,
2001,M10,1.01,,,
2001,M11,1.012,,,
2001,M12,1.005,,,
2002,M01,1.001,,,
2002,M02,1.008,,,
2002,M03,1.012,,,
2002,M04,1.005,,,
2002,M05,1.012,,,
2002,M06,1.011,,,
2002,M07,1.015,,,
2002,M08,1.012,,,
2002,M09,1.016,,,
2002,M10,1.015,,,
2002,M11,1.054,,,
2002,M12,1.026,,,
2003,M01,1.042,,,
2003,M02,1.048,,,
2003,M03,1.042,,,
2003,M04,1.047,,,
2003,M05,1.001,,,
2003,M06,0.961,,,
2003,M07,1.002,,,
2003,M08,0.996,,,
2003,M09,0.994,,,
2003,M10,0.969,,,
2003,M11,0.953,,,
2003,M12,0.954,,,
2004,M01,0.946,,,
2004,M02,0.943,,,
2004,M03,0.947,,,
2004,M04,0.974,,,
2004,M05,0.96,,,
2004,M06,0.979,,,
2004,M07,0.985,,,
2004,M08,0.996,,,
2004,M09,0.985,,,
2004,M10,0.972,,,
2004,M11,0.976,,,
2004,M12,0.97,,,
2005,M01,0.997,,,
2005,M02,0.982,,,
2005,M03,1.002,,,
2005,M04,1.004,,,
2005,M05,1.086,,,
2005,M06,1.09,,,
2005,M07,1.067,,,
2005,M08,1.06,,,
2005,M09,1.052,,,
2005,M10,1.043,,,
2005,M11,1.055,,,
2005,M12,1.046,,,
2006,M01,1.046,,,
2006,M02,1.029,,,
2006,M03,1.04,,,
2006,M04,1.072,,,
2006,M05,1.086,,,
2006,M06,1.074,,,
2006,M07,1.071,,,
2006,M08,1.088,,,
2006,M09,1.083,,,
2006,M10,1.097,,,
2006,M11,1.143,,,
2006,M12,1.137,,,
2007,M01,1.153,,,
2007,M02,1.168,,,
2007,M03,1.161,,,
2007,M04,1.201,,,
2007,M05,1.192,,,
2007,M06,1.193,,,
2007,M07,1.209,,,
2007,M08,1.21,,,
2007,M09,1.212,,,
2007,M10,1.274,,,
2007,M11,1.235,,,
2007,M12,1.28,,,
2008,M01,1.281,,,
2008,M02,1.321,,,
2008,M03,1.35,,,
2008,M04,1.373,,,
2008,M05,1.37,,,
2008,M06,1.373,,,
2008,M07,1.384,,,
2008,M08,1.381,,,
2008,M09,1.379,,,
2008,M10,1.393,,,
2008,M11,1.377,,,
2008,M12,1.415,,,
2009,M01,1.381,,,
2009,M02,1.404,,,
2009,M03,1.41,,,
2009,M04,1.395,,,
2009,M05,1.413,,,
2009,M06,1.385,,,
2009,M07,1.391,,,
2009,M08,1.375,,,
2009,M09,1.34,,,
2009,M10,1.392,,,
2009,M11,1.373,,,
2009,M12,1.39,,,
2010,M01,1.36,,,
2010,M02,1.361,,,
2010,M03,1.368,,,
2010,M04,1.363,,,
2010,M05,1.359,,,
2010,M06,1.383,,,
2010,M07,1.36,,,
2010,M08,1.372,,,
2010,M09,1.386,,,
2010,M10,1.407,,,
2010,M11,1.375,,,
2010,M12,1.386,,,
2011,M01,1.401,,,
2011,M02,1.398,,,
2011,M03,1.415,,,
2011,M04,1.42,,,
2011,M05,1.472,,,
2011,M06,1.49,,,
2011,M07,1.513,,,
2011,M08,1.474,,,
2011,M09,1.477,,,
2011,M10,1.457,,,
2011,M11,1.399,,,
2011,M12,1.42,,,
