Series ID,Year,Period,Label,Value
APU0000706111,1980,M01,1980 Jan,0.699
APU0000706111,1980,M02,1980 Feb,0.673
APU0000706111,1980,M03,1980 Mar,0.655
APU0000706111,1980,M04,1980 Apr,0.638
APU0000706111,1980,M05,1980 May,0.628
APU0000706111,1980,M06,1980 Jun,0.640
APU0000706111,1980,M07,1980 Jul,0.710
APU0000706111,1980,M08,1980 Aug,0.751
APU0000706111,1980,M09,1980 Sep,0.791
APU0000706111,1980,M10,1980 Oct,0.792
APU0000706111,1980,M11,1980 Nov,0.766
APU0000706111,1980,M12,1980 Dec,0.760
APU0000706111,1981,M01,1981 Jan,0.749
APU0000706111,1981,M02,1981 Feb,0.759
APU0000706111,1981,M03,1981 Mar,0.755
APU0000706111,1981,M04,1981 Apr,0.734
APU0000706111,1981,M05,1981 May,0.706
APU0000706111,1981,M06,1981 Jun,0.717
APU0000706111,1981,M07,1981 Jul,0.767
APU0000706111,1981,M08,1981 Aug,0.752
APU0000706111,1981,M09,1981 Sep,0.728
APU0000706111,1981,M10,1981 Oct,0.712
APU0000706111,1981,M11,1981 Nov,0.702
APU0000706111,1981,M12,1981 Dec,0.700
APU0000706111,1982,M01,1982 Jan,0.712
APU0000706111,1982,M02,1982 Feb,0.726
APU0000706111,1982,M03,1982 Mar,0.715
APU0000706111,1982,M04,1982 Apr,0.712
APU0000706111,1982,M05,1982 May,0.720
APU0000706111,1982,M06,1982 Jun,0.732
APU0000706111,1982,M07,1982 Jul,0.740
APU0000706111,1982,M08,1982 Aug,0.717
APU0000706111,1982,M09,1982 Sep,0.713
APU0000706111,1982,M10,1982 Oct,0.700
APU0000706111,1982,M11,1982 Nov,0.694
APU0000706111,1982,M12,1982 Dec,0.682
APU0000706111,1983,M01,1983 Jan,0.689
APU0000706111,1983,M02,1983 Feb,0.699
APU0000706111,1983,M03,1983 Mar,0.698
APU0000706111,1983,M04,1983 Apr,0.676
APU0000706111,1983,M05,1983 May,0.687
APU0000706111,1983,M06,1983 Jun,0.699
APU0000706111,1983,M07,1983 Jul,0.724
APU0000706111,1983,M08,1983 Aug,0.740
APU0000706111,1983,M09,1983 Sep,0.769
APU0000706111,1983,M10,1983 Oct,0.737
APU0000706111,1983,M11,1983 Nov,0.766
APU0000706111,1983,M12,1983 Dec,0.812
APU0000706111,1984,M01,1984 Jan,0.839
APU0000706111,1984,M02,1984 Feb,0.867
APU0000706111,1984,M03,1984 Mar,0.848
APU0000706111,1984,M04,1984 Apr,0.844
APU0000706111,1984,M05,1984 May,0.811
APU0000706111,1984,M06,1984 Jun,0.817
APU0000706111,1984,M07,1984 Jul,0.829
APU0000706111,1984,M08,1984 Aug,0.788
APU0000706111,1984,M09,1984 Sep,0.790
APU0000706111,1984,M10,1984 Oct,0.764
APU0000706111,1984,M11,1984 Nov,0.771
APU0000706111,1984,M12,1984 Dec,0.753
APU0000706111,1985,M01,1985 Jan,0.773
APU0000706111,1985,M02,1985 Feb,0.772
APU0000706111,1985,M03,1985 Mar,0.769
APU0000706111,1985,M04,1985 Apr,0.764
APU0000706111,1985,M05,1985 May,0.745
APU0000706111,1985,M06,1985 Jun,0.761
APU0000706111,1985,M07,1985 Jul,0.753
APU0000706111,1985,M08,1985 Aug,0.757
APU0000706111,1985,M09,1985 Sep,0.762
APU0000706111,1985,M10,1985 Oct,0.749
APU0000706111,1985,M11,1985 Nov,0.778
APU0000706111,1985,M12,1985 Dec,0.776
APU0000706111,1986,M01,1986 Jan,0.766
APU0000706111,1986,M02,1986 Feb,0.771
APU0000706111,1986,M03,1986 Mar,0.767
APU0000706111,1986,M04,1986 Apr,0.752
APU0000706111,1986,M05,1986 May,0.769
APU0000706111,1986,M06,1986 Jun,0.795
APU0000706111,1986,M07,1986 Jul,0.889
APU0000706111,1986,M08,1986 Aug,0.958
APU0000706111,1986,M09,1986 Sep,0.910
APU0000706111,1986,M10,1986 Oct,0.900
APU0000706111,1986,M11,1986 Nov,0.878
APU0000706111,1986,M12,1986 Dec,0.865
APU0000706111,1987,M01,1987 Jan,0.821
APU0000706111,1987,M02,1987 Feb,0.832
APU0000706111,1987,M03,1987 Mar,0.804
APU0000706111,1987,M04,1987 Apr,0.792
APU0000706111,1987,M05,1987 May,0.782
APU0000706111,1987,M06,1987 Jun,0.771
APU0000706111,1987,M07,1987 Jul,0.755
APU0000706111,1987,M08,1987 Aug,0.785
APU0000706111,1987,M09,1987 Sep,0.793
APU0000706111,1987,M10,1987 Oct,0.791
APU0000706111,1987,M11,1987 Nov,0.756
APU0000706111,1987,M12,1987 Dec,0.736
APU0000706111,1988,M01,1988 Jan,0.740
