Series ID,Year,Period,Label,Value
APU0000717311,1980,M01,1980 Jan,3.208
APU0000717311,1980,M02,1980 Feb,3.258
APU0000717311,1980,M03,1980 Mar,3.248
APU0000717311,1980,M04,1980 Apr,3.209
APU0000717311,1980,M05,1980 May,3.200
APU0000717311,1980,M06,1980 Jun,3.181
APU0000717311,1980,M07,1980 Jul,3.233
APU0000717311,1980,M08,1980 Aug,3.230
APU0000717311,1980,M09,1980 Sep,3.159
APU0000717311,1980,M10,1980 Oct,3.053
APU0000717311,1980,M11,1980 Nov,2.913
APU0000717311,1980,M12,1980 Dec,2.818
APU0000717311,1981,M01,1981 Jan,2.777
APU0000717311,1981,M02,1981 Feb,2.595
APU0000717311,1981,M03,1981 Mar,2.557
APU0000717311,1981,M04,1981 Apr,2.562
APU0000717311,1981,M05,1981 May,2.538
APU0000717311,1981,M06,1981 Jun,2.517
APU0000717311,1981,M07,1981 Jul,2.512
APU0000717311,1981,M08,1981 Aug,2.492
APU0000717311,1981,M09,1981 Sep,2.460
APU0000717311,1981,M10,1981 Oct,2.451
APU0000717311,1981,M11,1981 Nov,2.408
APU0000717311,1981,M12,1981 Dec,2.457
APU0000717311,1982,M01,1982 Jan,2.475
APU0000717311,1982,M02,1982 Feb,2.552
APU0000717311,1982,M03,1982 Mar,2.564
APU0000717311,1982,M04,1982 Apr,2.585
APU0000717311,1982,M05,1982 May,2.567
APU0000717311,1982,M06,1982 Jun,2.527
APU0000717311,1982,M07,1982 Jul,2.502
APU0000717311,1982,M08,1982 Aug,2.515
APU0000717311,1982,M09,1982 Sep,2.517
APU0000717311,1982,M10,1982 Oct,2.500
APU0000717311,1982,M11,1982 Nov,2.481
APU0000717311,1982,M12,1982 Dec,2.501
APU0000717311,1983,M01,1983 Jan,2.528
APU0000717311,1983,M02,1983 Feb,2.519
APU0000717311,1983,M03,1983 Mar,2.478
APU0000717311,1983,M04,1983 Apr,2.466
APU0000717311,1983,M05,1983 May,2.459
APU0000717311,1983,M06,1983 Jun,2.470
APU0000717311,1983,M07,1983 Jul,2.454
APU0000717311,1983,M08,1983 Aug,2.451
APU0000717311,1983,M09,1983 Sep,2.438
APU0000717311,1983,M10,1983 Oct,2.432
APU0000717311,1983,M11,1983 Nov,2.454
APU0000717311,1983,M12,1983 Dec,2.437
APU0000717311,1984,M01,1984 Jan,2.495
APU0000717311,1984,M02,1984 Feb,2.546
APU0000717311,1984,M03,1984 Mar,2.546
APU0000717311,1984,M04,1984 Apr,2.549
APU0000717311,1984,M05,1984 May,2.567
APU0000717311,1984,M06,1984 Jun,2.598
APU0000717311,1984,M07,1984 Jul,2.609
APU0000717311,1984,M08,1984 Aug,2.606
APU0000717311,1984,M09,1984 Sep,2.617
APU0000717311,1984,M10,1984 Oct,2.616
APU0000717311,1984,M11,1984 Nov,2.594
APU0000717311,1984,M12,1984 Dec,2.593
APU0000717311,1985,M01,1985 Jan,2.585
APU0000717311,1985,M02,1985 Feb,2.594
APU0000717311,1985,M03,1985 Mar,2.621
