Year,Period,Value,periodName,latest,footnotes
1992,M01,2.798,,,
1992,M02,2.804,,,
1992,M03,2.924,,,
1992,M04,2.877,,,
1992,M05,2.872,,,
1992,M06,2.86,,,
1992,M07,2.844,,,
1992,M08,2.851,,,
1992,M09,2.661,,,
1992,M10,2.61,,,
1992,M11,2.618,,,
1992,M12,2.546,,,
1993,M01,2.504,,,
1993,M02,2.52,,,
1993,M03,2.447,,,
1993,M04,2.421,,,
1993,M05,2.496,,,
1993,M06,2.564,,,
1993,M07,2.583,,,
1993,M08,2.408,,,
1993,M09,2.445,,,
1993,M10,2.325,,,
1993,M11,2.377,,,
1993,M12,2.426,,,
1994,M01,2.378,,,
1994,M02,2.411,,,
1994,M03,2.468,,,
1994,M04,2.464,,,
1994,M05,2.641,,,
1994,M06,2.675,,,
1994,M07,2.704,,,
1994,M08,2.601,,,
1994,M09,2.611,,,
1994,M10,2.537,,,
1994,M11,2.502,,,
1994,M12,2.541,,,
1995,M01,2.32,,,
1995,M02,2.535,,,
1995,M03,2.444,,,
1995,M04,2.489,,,
1995,M05,2.415,,,
1995,M06,2.485,,,
1995,M07,2.453,,,
1995,M08,2.471,,,
1995,M09,2.464,,,
1995,M10,2.479,,,
1995,M11,2.489,,,
1995,M12,2.576,,,
1996,M01,2.582,,,
1996,M02,2.615,,,
1996,M03,2.628,,,
1996,M04,2.754,,,
1996,M05,2.625,,,
1996,M06,2.557,,,
1996,M07,2.513,,,
1996,M08,2.464,,,
1996,M09,2.526,,,
1996,M10,2.504,,,
1996,M11,2.554,,,
1996,M12,2.614,,,
1997,M01,2.553,,,
1997,M02,2.636,,,
1997,M03,2.647,,,
1997,M04,2.582,,,
1997,M05,2.632,,,
1997,M06,2.643,,,
1997,M07,2.614,,,
1997,M08,2.612,,,
1997,M09,2.536,,,
1997,M10,2.612,,,
1997,M11,2.667,,,
1997,M12,2.633,,,
1998,M01,2.502,,,
1998,M02,2.607,,,
1998,M03,2.499,,,
1998,M04,2.505,,,
1998,M05,2.512,,,
1998,M06,2.563,,,
1998,M07,2.541,,,
1998,M08,2.588,,,
1998,M09,2.56,,,
1998,M10,2.517,,,
1998,M11,2.519,,,
1998,M12,2.577,,,
1999,M01,2.61,,,
1999,M02,2.594,,,
1999,M03,2.607,,,
1999,M04,2.564,,,
1999,M05,2.573,,,
1999,M06,2.54,,,
1999,M07,2.609,,,
1999,M08,2.602,,,
1999,M09,2.583,,,
1999,M10,2.584,,,
1999,M11,2.627,,,
1999,M12,2.673,,,
2000,M01,2.607,,,
2000,M02,2.525,,,
2000,M03,2.567,,,
2000,M04,2.523,,,
2000,M05,2.685,,,
2000,M06,2.555,,,
2000,M07,2.558,,,
2000,M08,2.628,,,
2000,M09,2.587,,,
2000,M10,2.691,,,
2000,M11,2.618,,,
2000,M12,2.537,,,
2001,M01,2.388,,,
2001,M02,2.485,,,
2001,M03,2.475,,,
2001,M04,2.503,,,
2001,M05,2.379,,,
2001,M06,2.372,,,
2001,M07,2.371,,,
2001,M08,2.423,,,
2001,M09,2.448,,,
2001,M10,2.408,,,
2001,M11,2.518,,,
2001,M12,2.511,,,
2002,M01,2.491,,,
2002,M02,2.604,,,
2002,M03,2.531,,,
2002,M04,2.578,,,
2002,M05,2.627,,,
2002,M06,2.514,,,
2002,M07,2.579,,,
2002,M08,2.534,,,
2002,M09,2.574,,,
2002,M10,2.595,,,
2002,M11,2.765,,,
2002,M12,2.736,,,
2003,M01,2.774,,,
2003,M02,2.672,,,
2003,M03,2.729,,,
2003,M04,2.777,,,
2003,M05,2.908,,,
2003,M06,2.921,,,
2003,M07,2.871,,,
2003,M08,2.871,,,
2003,M09,2.856,,,
2003,M10,2.954,,,
2003,M11,2.721,,,
2003,M12,2.712,,,
2004,M01,2.75,,,
2004,M02,2.699,,,
2004,M03,2.685,,,
2004,M04,2.633,,,
2004,M05,2.598,,,
2004,M06,2.635,,,
2004,M07,2.652,,,
2004,M08,2.571,,,
2004,M09,2.606,,,
2004,M10,2.704,,,
2004,M11,2.578,,,
2004,M12,2.632,,,
2005,M01,2.677,,,
2005,M02,2.744,,,
2005,M03,2.759,,,
2005,M04,2.662,,,
2005,M05,2.537,,,
2005,M06,2.699,,,
2005,M07,2.632,,,
2005,M08,2.558,,,
2005,M09,2.621,,,
2005,M10,2.652,,,
2005,M11,2.67,,,
2005,M12,2.832,,,
2006,M01,2.764,,,
2006,M02,2.739,,,
2006,M03,2.693,,,
2006,M04,2.608,,,
2006,M05,2.797,,,
2006,M06,3.021,,,
2006,M07,3.074,,,
2006,M08,3.091,,,
2006,M09,3.041,,,
2006,M10,3.012,,,
2006,M11,2.851,,,
2006,M12,2.913,,,
2007,M01,2.868,,,
2007,M02,2.645,,,
2007,M03,2.678,,,
2007,M04,2.681,,,
2007,M05,2.685,,,
2007,M06,2.67,,,
2007,M07,2.748,,,
2007,M08,2.65,,,
2007,M09,2.671,,,
2007,M10,2.696,,,
2007,M11,2.748,,,
2007,M12,2.719,,,
2008,M01,2.642,,,
2008,M02,2.682,,,
2008,M03,2.734,,,
2008,M04,2.78,,,
2008,M05,2.87,,,
2008,M06,2.875,,,
2008,M07,2.993,,,
2008,M08,2.902,,,
