Year,Period,Value,periodName,latest,footnotes
1980,M01,0.879,,,
1980,M02,0.774,,,
1980,M03,0.812,,,
1980,M04,0.797,,,
1980,M05,0.737,,,
1980,M06,0.731,,,
1980,M07,0.776,,,
1980,M08,0.907,,,
1980,M09,0.898,,,
1980,M10,0.867,,,
1980,M11,0.917,,,
1980,M12,1.031,,,
1981,M01,0.943,,,
1981,M02,0.924,,,
1981,M03,0.875,,,
1981,M04,0.904,,,
1981,M05,0.836,,,
1981,M06,0.852,,,
1981,M07,0.86,,,
1981,M08,0.868,,,
1981,M09,0.915,,,
1981,M10,0.898,,,
1981,M11,0.943,,,
1981,M12,0.966,,,
1982,M01,0.925,,,
1982,M02,1.007,,,
1982,M03,0.952,,,
1982,M04,0.896,,,
1982,M05,0.842,,,
1982,M06,0.783,,,
1982,M07,0.851,,,
1982,M08,0.778,,,
1982,M09,0.852,,,
1982,M10,0.854,,,
1982,M11,0.849,,,
1982,M12,0.813,,,
1983,M01,0.821,,,
1983,M02,0.794,,,
1983,M03,0.836,,,
1983,M04,0.825,,,
1983,M05,0.865,,,
1983,M06,0.825,,,
1983,M07,0.847,,,
1983,M08,0.884,,,
1983,M09,0.938,,,
1983,M10,0.962,,,
1983,M11,0.996,,,
1983,M12,1.131,,,
1984,M01,1.301,,,
1984,M02,1.324,,,
1984,M03,1.153,,,
1984,M04,1.199,,,
1984,M05,1.054,,,
1984,M06,0.903,,,
1984,M07,0.876,,,
1984,M08,0.86,,,
1984,M09,0.854,,,
1984,M10,0.842,,,
1984,M11,0.823,,,
1984,M12,0.867,,,
1985,M01,0.746,,,
1985,M02,0.784,,,
1985,M03,0.79,,,
1985,M04,0.783,,,
1985,M05,0.745,,,
1985,M06,0.724,,,
1985,M07,0.787,,,
1985,M08,0.789,,,
1985,M09,0.857,,,
1985,M10,0.86,,,
1985,M11,0.872,,,
1985,M12,0.906,,,
1986,M01,0.901,,,
1986,M02,0.866,,,
1986,M03,0.887,,,
1986,M04,0.89,,,
1986,M05,0.82,,,
1986,M06,0.795,,,
1986,M07,0.833,,,
1986,M08,0.913,,,
1986,M09,0.868,,,
1986,M10,0.855,,,
1986,M11,0.897,,,
1986,M12,0.91,,,
1987,M01,0.862,,,
1987,M02,0.823,,,
1987,M03,0.8,,,
1987,M04,0.786,,,
1987,M05,0.763,,,
1987,M06,0.711,,,
1987,M07,0.763,,,
1987,M08,0.73,,,
1987,M09,0.837,,,
1987,M10,0.778,,,
1987,M11,0.805,,,
1987,M12,0.733,,,
1988,M01,0.76,,,
1988,M02,0.718,,,
1988,M03,0.74,,,
1988,M04,0.719,,,
1988,M05,0.678,,,
1988,M06,0.705,,,
1988,M07,0.803,,,
1988,M08,0.909,,,
1988,M09,0.874,,,
1988,M10,0.896,,,
1988,M11,0.839,,,
1988,M12,0.833,,,
1989,M01,0.941,,,
1989,M02,0.89,,,
1989,M03,1.031,,,
1989,M04,0.997,,,
1989,M05,0.956,,,
1989,M06,0.937,,,
1989,M07,0.961,,,
1989,M08,0.983,,,
1989,M09,1.038,,,
1989,M10,1.023,,,
1989,M11,1.08,,,
1989,M12,1.137,,,
1990,M01,1.223,,,
1990,M02,1.041,,,
1990,M03,1.111,,,
1990,M04,1.092,,,
1990,M05,0.94,,,
1990,M06,0.93,,,
1990,M07,0.899,,,
1990,M08,0.954,,,
1990,M09,0.946,,,
1990,M10,1.012,,,
1990,M11,1.018,,,
1990,M12,1.001,,,
1991,M01,1.106,,,
1991,M02,0.987,,,
1991,M03,1.069,,,
1991,M04,1.002,,,
1991,M05,0.908,,,
1991,M06,0.884,,,
1991,M07,0.966,,,
1991,M08,1.024,,,
1991,M09,0.987,,,
1991,M10,0.976,,,
1991,M11,0.95,,,
1991,M12,1.012,,,
1992,M01,0.933,,,
1992,M02,0.881,,,
1992,M03,0.85,,,
1992,M04,0.829,,,
1992,M05,0.836,,,
1992,M06,0.801,,,
1992,M07,0.827,,,
1992,M08,0.809,,,
1992,M09,0.873,,,
1992,M10,0.858,,,
1992,M11,0.897,,,
1992,M12,0.928,,,
1993,M01,0.898,,,
1993,M02,0.895,,,
1993,M03,0.927,,,
1993,M04,0.997,,,
1993,M05,0.895,,,
1993,M06,0.921,,,
1993,M07,0.9,,,
1993,M08,0.929,,,
1993,M09,0.89,,,
1993,M10,0.897,,,
1993,M11,0.917,,,
1993,M12,0.871,,,
1994,M01,0.917,,,
1994,M02,0.903,,,
1994,M03,0.926,,,
1994,M04,0.861,,,
1994,M05,0.801,,,
1994,M06,0.841,,,
1994,M07,0.815,,,
1994,M08,0.895,,,
1994,M09,0.855,,,
1994,M10,0.81,,,
1994,M11,0.857,,,
1994,M12,0.873,,,
1995,M01,0.882,,,
1995,M02,0.863,,,
1995,M03,0.875,,,
1995,M04,0.833,,,
1995,M05,0.819,,,
1995,M06,0.825,,,
1995,M07,0.879,,,
1995,M08,0.984,,,
1995,M09,0.956,,,
1995,M10,0.981,,,
1995,M11,1.037,,,
1995,M12,1.16,,,
1996,M01,1.155,,,
1996,M02,1.091,,,
1996,M03,1.138,,,
1996,M04,1.086,,,
1996,M05,1.021,,,
1996,M06,0.945,,,
1996,M07,1.042,,,
1996,M08,1.072,,,
1996,M09,1.15,,,
1996,M10,1.129,,,
1996,M11,1.139,,,
1996,M12,1.308,,,
1997,M01,1.148,,,
1997,M02,1.132,,,
1997,M03,1.056,,,
1997,M04,1.081,,,
1997,M05,1.002,,,
1997,M06,0.952,,,
1997,M07,0.979,,,
1997,M08,1.061,,,
1997,M09,1.009,,,
1997,M10,1.018,,,
1997,M11,1.09,,,
1997,M12,1.172,,,
1998,M01,1.12,,,
1998,M02,1.073,,,
1998,M03,1.043,,,
1998,M04,1.061,,,
1998,M05,0.96,,,
1998,M06,0.932,,,
1998,M07,0.971,,,
1998,M08,1.053,,,
1998,M09,1.022,,,
1998,M10,1.048,,,
1998,M11,1.077,,,
1998,M12,1.089,,,
1999,M01,1.053,,,
1999,M02,1.078,,,
1999,M03,1.005,,,
1999,M04,0.942,,,
1999,M05,0.9,,,
1999,M06,0.949,,,
1999,M07,0.88,,,
1999,M08,1.02,,,
1999,M09,0.956,,,
1999,M10,0.888,,,
1999,M11,0.92,,,
1999,M12,0.92,,,
2000,M01,0.975,,,
2000,M02,0.962,,,
2000,M03,0.931,,,
2000,M04,0.939,,,
2000,M05,0.852,,,
2000,M06,0.838,,,
2000,M07,0.868,,,
2000,M08,0.893,,,
2000,M09,0.92,,,
2000,M10,0.923,,,
2000,M11,0.902,,,
2000,M12,0.959,,,
2001,M01,1.011,,,
2001,M02,0.943,,,
2001,M03,0.886,,,
2001,M04,1.028,,,
