Series ID,Year,Period,Label,Value
APU0000710411,1980,M01,1980 Jan,1.755
APU0000710411,1980,M02,1980 Feb,1.775
APU0000710411,1980,M03,1980 Mar,1.718
APU0000710411,1980,M04,1980 Apr,1.769
APU0000710411,1980,M05,1980 May,1.822
APU0000710411,1980,M06,1980 Jun,1.832
APU0000710411,1980,M07,1980 Jul,1.831
APU0000710411,1980,M08,1980 Aug,1.873
APU0000710411,1980,M09,1980 Sep,1.825
APU0000710411,1980,M10,1980 Oct,1.879
APU0000710411,1980,M11,1980 Nov,1.878
APU0000710411,1980,M12,1980 Dec,1.920
APU0000710411,1981,M01,1981 Jan,1.938
APU0000710411,1981,M02,1981 Feb,2.019
APU0000710411,1981,M03,1981 Mar,1.992
APU0000710411,1981,M04,1981 Apr,2.024
APU0000710411,1981,M05,1981 May,2.008
APU0000710411,1981,M06,1981 Jun,2.006
APU0000710411,1981,M07,1981 Jul,2.024
APU0000710411,1981,M08,1981 Aug,2.014
APU0000710411,1981,M09,1981 Sep,2.042
APU0000710411,1981,M10,1981 Oct,2.032
APU0000710411,1981,M11,1981 Nov,2.028
APU0000710411,1981,M12,1981 Dec,2.064
APU0000710411,1982,M01,1982 Jan,2.128
APU0000710411,1982,M02,1982 Feb,2.075
APU0000710411,1982,M03,1982 Mar,2.061
APU0000710411,1982,M04,1982 Apr,2.089
APU0000710411,1982,M05,1982 May,2.043
APU0000710411,1982,M06,1982 Jun,2.060
APU0000710411,1982,M07,1982 Jul,2.092
APU0000710411,1982,M08,1982 Aug,2.095
APU0000710411,1982,M09,1982 Sep,2.105
APU0000710411,1982,M10,1982 Oct,2.136
APU0000710411,1982,M11,1982 Nov,2.187
APU0000710411,1982,M12,1982 Dec,2.163
APU0000710411,1983,M01,1983 Jan,2.179
APU0000710411,1983,M02,1983 Feb,2.139
APU0000710411,1983,M03,1983 Mar,2.091
APU0000710411,1983,M04,1983 Apr,2.107
APU0000710411,1983,M05,1983 May,2.140
APU0000710411,1983,M06,1983 Jun,2.141
APU0000710411,1983,M07,1983 Jul,2.122
APU0000710411,1983,M08,1983 Aug,2.135
APU0000710411,1983,M09,1983 Sep,2.193
APU0000710411,1983,M10,1983 Oct,2.249
APU0000710411,1983,M11,1983 Nov,2.214
APU0000710411,1983,M12,1983 Dec,2.184
APU0000710411,1984,M01,1984 Jan,2.189
APU0000710411,1984,M02,1984 Feb,2.191
APU0000710411,1984,M03,1984 Mar,2.171
APU0000710411,1984,M04,1984 Apr,2.210
APU0000710411,1984,M05,1984 May,2.203
APU0000710411,1984,M06,1984 Jun,2.193
APU0000710411,1984,M07,1984 Jul,2.212
APU0000710411,1984,M08,1984 Aug,2.232
APU0000710411,1984,M09,1984 Sep,2.301
