Year,Period,Value,periodName,latest,footnotes
1992,M01,0.643,,,
1992,M02,0.616,,,
1992,M03,0.563,,,
1992,M04,0.537,,,
1992,M05,0.573,,,
1992,M11,0.571,,,
1992,M12,0.516,,,
1993,M01,0.514,,,
1993,M02,0.506,,,
1993,M03,0.506,,,
1993,M04,0.521,,,
1993,M05,0.549,,,
1993,M11,0.694,,,
1993,M12,0.556,,,
1994,M01,0.505,,,
1994,M02,0.496,,,
1994,M03,0.52,,,
1994,M04,0.549,,,
1994,M05,0.618,,,
1994,M11,0.578,,,
1994,M12,0.552,,,
1995,M01,0.575,,,
1995,M02,0.585,,,
1995,M03,0.571,,,
1995,M04,0.606,,,
1995,M05,0.65,,,
1995,M11,0.742,,,
1995,M12,0.643,,,
1996,M01,0.561,,,
1996,M02,0.559,,,
1996,M03,0.565,,,
1996,M04,0.62,,,
1996,M05,0.716,,,
1996,M11,0.707,,,
1996,M12,0.593,,,
1997,M01,0.555,,,
1997,M02,0.554,,,
1997,M03,0.546,,,
1997,M04,0.598,,,
1997,M05,0.706,,,
1997,M11,0.642,,,
1997,M12,0.583,,,
1998,M01,0.525,,,
1998,M02,0.507,,,
1998,M03,0.505,,,
1998,M04,0.571,,,
1998,M05,0.672,,,
1998,M12,0.608,,,
1999,M01,0.83,,,
1999,M02,0.889,,,
1999,M03,0.869,,,
1999,M04,0.944,,,
1999,M11,0.884,,,
1999,M12,0.641,,,
2000,M01,0.607,,,
2000,M02,0.586,,,
2000,M03,0.572,,,
2000,M04,0.573,,,
2000,M05,0.638,,,
2000,M06,0.699,,,
2000,M11,0.725,,,
2000,M12,0.624,,,
2001,M01,0.638,,,
2001,M02,0.66,,,
2001,M03,0.646,,,
2001,M04,0.735,,,
2001,M05,0.793,,,
2001,M11,0.867,,,
2001,M12,0.713,,,
2002,M01,0.715,,,
2002,M02,0.759,,,
2002,M03,0.71,,,
2002,M04,0.751,,,
2002,M05,0.849,,,
2002,M10,1.163,,,
2002,M11,0.998,,,
2002,M12,0.742,,,
2003,M01,0.713,,,
2003,M02,0.711,,,
2003,M03,0.728,,,
2003,M04,0.742,,,
2003,M05,0.8,,,
2003,M06,0.875,,,
2003,M10,1.141,,,
2003,M11,0.971,,,
2003,M12,0.862,,,
2004,M01,0.793,,,
2004,M02,0.725,,,
2004,M03,0.73,,,
2004,M04,0.744,,,
2004,M05,0.77,,,
2004,M06,0.878,,,
2004,M09,1.142,,,
2004,M11,1.08,,,
2004,M12,0.865,,,
2005,M01,0.838,,,
2005,M02,0.802,,,
2005,M03,0.783,,,
2005,M04,0.816,,,
2005,M05,0.899,,,
2005,M06,1.012,,,
2005,M09,1.363,,,
2005,M10,1.388,,,
2005,M11,1.172,,,
2005,M12,0.885,,,
2006,M01,0.837,,,
2006,M02,0.915,,,
2006,M03,0.888,,,
2006,M04,0.876,,,
2006,M05,0.99,,,
