Year,Period,Value,periodName,latest,footnotes
1980,M01,0.484,,,
1980,M02,0.488,,,
1980,M03,0.489,,,
1980,M04,0.511,,,
1980,M05,0.51,,,
1980,M06,0.521,,,
1980,M07,0.523,,,
1980,M08,0.518,,,
1980,M09,0.517,,,
1980,M10,0.519,,,
1980,M11,0.52,,,
1980,M12,0.539,,,
1981,M01,0.551,,,
1981,M02,0.554,,,
1981,M03,0.563,,,
1981,M04,0.572,,,
1981,M05,0.575,,,
1981,M06,0.572,,,
1981,M07,0.574,,,
1981,M08,0.577,,,
1981,M09,0.567,,,
1981,M10,0.556,,,
1981,M11,0.55,,,
1981,M12,0.545,,,
1982,M01,0.545,,,
1982,M02,0.547,,,
1982,M03,0.516,,,
1982,M04,0.504,,,
1982,M05,0.508,,,
1982,M06,0.499,,,
1982,M07,0.496,,,
1982,M08,0.494,,,
1982,M09,0.491,,,
1982,M10,0.488,,,
1982,M11,0.487,,,
1982,M12,0.482,,,
1983,M01,0.486,,,
1983,M02,0.473,,,
1983,M03,0.468,,,
1983,M04,0.47,,,
1983,M05,0.468,,,
1983,M06,0.469,,,
1983,M07,0.475,,,
1983,M08,0.468,,,
1983,M09,0.475,,,
1983,M10,0.473,,,
1983,M11,0.474,,,
1983,M12,0.479,,,
1984,M01,0.484,,,
1984,M02,0.485,,,
1984,M03,0.476,,,
1984,M04,0.471,,,
1984,M05,0.471,,,
1984,M06,0.477,,,
1984,M07,0.484,,,
1984,M08,0.479,,,
1984,M09,0.478,,,
1984,M10,0.48,,,
1984,M11,0.479,,,
1984,M12,0.472,,,
1985,M01,0.475,,,
1985,M02,0.472,,,
1985,M03,0.476,,,
1985,M04,0.475,,,
1985,M05,0.472,,,
1985,M06,0.467,,,
1985,M07,0.471,,,
1985,M08,0.473,,,
1985,M09,0.473,,,
1985,M10,0.468,,,
1985,M11,0.466,,,
1985,M12,0.45,,,
1986,M01,0.456,,,
1986,M02,0.455,,,
1986,M03,0.453,,,
1986,M04,0.453,,,
1986,M05,0.451,,,
1986,M06,0.446,,,
1986,M07,0.453,,,
1986,M08,0.443,,,
1986,M09,0.434,,,
1986,M10,0.436,,,
1986,M11,0.432,,,
1986,M12,0.434,,,
1987,M01,0.416,,,
1987,M02,0.411,,,
1987,M03,0.394,,,
1987,M04,0.398,,,
1987,M05,0.395,,,
1987,M06,0.393,,,
1987,M07,0.391,,,
1987,M08,0.403,,,
1987,M09,0.395,,,
1987,M10,0.395,,,
1987,M11,0.405,,,
1987,M12,0.422,,,
1988,M01,0.446,,,
1988,M02,0.462,,,
1988,M03,0.468,,,
1988,M04,0.488,,,
1988,M05,0.497,,,
1988,M06,0.492,,,
1988,M07,0.507,,,
1988,M08,0.506,,,
1988,M09,0.503,,,
1988,M10,0.475,,,
1988,M11,0.485,,,
1988,M12,0.484,,,
1989,M01,0.489,,,
1989,M02,0.495,,,
1989,M03,0.488,,,
1989,M04,0.482,,,
1989,M05,0.485,,,
1989,M06,0.486,,,
1989,M07,0.514,,,
1989,M08,0.509,,,
1989,M09,0.52,,,
1989,M10,0.513,,,
1989,M11,0.497,,,
1989,M12,0.504,,,
1990,M01,0.501,,,
1990,M02,0.476,,,
1990,M03,0.502,,,
1990,M04,0.497,,,
1990,M05,0.496,,,
1990,M06,0.494,,,
1990,M07,0.494,,,
1990,M08,0.497,,,
1990,M09,0.505,,,
1990,M10,0.497,,,
1990,M11,0.507,,,
1990,M12,0.491,,,
1991,M01,0.494,,,
1991,M02,0.492,,,
1991,M03,0.498,,,
1991,M04,0.502,,,
1991,M05,0.502,,,
1991,M06,0.506,,,
1991,M07,0.503,,,
1991,M08,0.494,,,
1991,M09,0.506,,,
1991,M10,0.508,,,
1991,M11,0.517,,,
1991,M12,0.51,,,
1992,M01,0.516,,,
1992,M02,0.515,,,
1992,M03,0.515,,,
1992,M04,0.522,,,
1992,M05,0.524,,,
1992,M06,0.52,,,
1992,M07,0.54,,,
1992,M08,0.537,,,
1992,M09,0.542,,,
1992,M10,0.543,,,
1992,M11,0.536,,,
1992,M12,0.525,,,
1993,M01,0.526,,,
1993,M02,0.53,,,
1993,M03,0.525,,,
1993,M04,0.522,,,
1993,M05,0.518,,,
1993,M06,0.518,,,
1993,M07,0.527,,,
1993,M08,0.507,,,
1993,M09,0.494,,,
1993,M10,0.495,,,
1993,M11,0.49,,,
1993,M12,0.495,,,
1994,M01,0.515,,,
1994,M02,0.543,,,
1994,M03,0.556,,,
1994,M04,0.575,,,
1994,M05,0.562,,,
1994,M06,0.555,,,
1994,M07,0.566,,,
1994,M08,0.546,,,
1994,M09,0.534,,,
1994,M10,0.534,,,
1994,M11,0.541,,,
1994,M12,0.534,,,
1995,M01,0.523,,,
1995,M02,0.518,,,
1995,M03,0.511,,,
1995,M04,0.515,,,
1995,M05,0.518,,,
1995,M06,0.518,,,
1995,M07,0.519,,,
1995,M08,0.526,,,
1995,M09,0.523,,,
1995,M10,0.535,,,
1995,M11,0.535,,,
