Year,Period,Value,periodName,latest,footnotes
1980,M01,0.699,,,
1980,M02,0.673,,,
1980,M03,0.655,,,
1980,M04,0.638,,,
1980,M05,0.628,,,
1980,M06,0.64,,,
1980,M07,0.71,,,
1980,M08,0.751,,,
1980,M09,0.791,,,
1980,M10,0.792,,,
1980,M11,0.766,,,
1980,M12,0.76,,,
1981,M01,0.749,,,
1981,M02,0.759,,,
1981,M03,0.755,,,
1981,M04,0.734,,,
1981,M05,0.706,,,
1981,M06,0.717,,,
1981,M07,0.767,,,
1981,M08,0.752,,,
1981,M09,0.728,,,
1981,M10,0.712,,,
1981,M11,0.702,,,
1981,M12,0.7,,,
1982,M01,0.712,,,
1982,M02,0.726,,,
1982,M03,0.715,,,
1982,M04,0.712,,,
1982,M05,0.72,,,
1982,M06,0.732,,,
1982,M07,0.74,,,
1982,M08,0.717,,,
1982,M09,0.713,,,
1982,M10,0.7,,,
1982,M11,0.694,,,
1982,M12,0.682,,,
1983,M01,0.689,,,
1983,M02,0.699,,,
1983,M03,0.698,,,
1983,M04,0.676,,,
1983,M05,0.687,,,
1983,M06,0.699,,,
1983,M07,0.724,,,
1983,M08,0.74,,,
1983,M09,0.769,,,
1983,M10,0.737,,,
1983,M11,0.766,,,
1983,M12,0.812,,,
1984,M01,0.839,,,
1984,M02,0.867,,,
1984,M03,0.848,,,
1984,M04,0.844,,,
1984,M05,0.811,,,
1984,M06,0.817,,,
1984,M07,0.829,,,
1984,M08,0.788,,,
1984,M09,0.79,,,
1984,M10,0.764,,,
1984,M11,0.771,,,
1984,M12,0.753,,,
1985,M01,0.773,,,
1985,M02,0.772,,,
1985,M03,0.769,,,
1985,M04,0.764,,,
1985,M05,0.745,,,
1985,M06,0.761,,,
1985,M07,0.753,,,
1985,M08,0.757,,,
1985,M09,0.762,,,
1985,M10,0.749,,,
1985,M11,0.778,,,
1985,M12,0.776,,,
1986,M01,0.766,,,
1986,M02,0.771,,,
1986,M03,0.767,,,
1986,M04,0.752,,,
1986,M05,0.769,,,
1986,M06,0.795,,,
1986,M07,0.889,,,
1986,M08,0.958,,,
1986,M09,0.91,,,
1986,M10,0.9,,,
1986,M11,0.878,,,
1986,M12,0.865,,,
1987,M01,0.821,,,
1987,M02,0.832,,,
1987,M03,0.804,,,
1987,M04,0.792,,,
1987,M05,0.782,,,
1987,M06,0.771,,,
1987,M07,0.755,,,
1987,M08,0.785,,,
1987,M09,0.793,,,
1987,M10,0.791,,,
1987,M11,0.756,,,
1987,M12,0.736,,,
1988,M01,0.74,,,
1988,M02,0.745,,,
1988,M03,0.753,,,
1988,M04,0.76,,,
1988,M05,0.796,,,
1988,M06,0.868,,,
1988,M07,0.937,,,
1988,M08,0.961,,,
1988,M09,0.975,,,
1988,M10,0.932,,,
1988,M11,0.892,,,
1988,M12,0.885,,,
1989,M01,0.905,,,
1989,M02,0.899,,,
1989,M03,0.913,,,
1989,M04,0.932,,,
1989,M05,0.961,,,
1989,M06,0.982,,,
1989,M07,0.964,,,
1989,M08,0.954,,,
1989,M09,0.942,,,
1989,M10,0.91,,,
1989,M11,0.879,,,
1989,M12,0.883,,,
1990,M01,0.882,,,
1990,M02,0.896,,,
1990,M03,0.928,,,
1990,M04,0.897,,,
1990,M05,0.902,,,
1990,M06,0.928,,,
1990,M07,0.917,,,
1990,M08,0.912,,,
1990,M09,0.907,,,
1990,M10,0.883,,,
1990,M11,0.88,,,
1990,M12,0.858,,,
1991,M01,0.886,,,
1991,M02,0.903,,,
