Year,Period,Value,periodName,latest,footnotes
1980,M01,0.053,,,
1980,M02,0.055,,,
1980,M03,0.056,,,
1980,M04,0.056,,,
1980,M05,0.058,,,
1980,M06,0.063,,,
1980,M07,0.064,,,
1980,M08,0.064,,,
1980,M09,0.065,,,
1980,M10,0.063,,,
1980,M11,0.061,,,
1980,M12,0.062,,,
1981,M01,0.063,,,
1981,M02,0.064,,,
1981,M03,0.065,,,
1981,M04,0.066,,,
1981,M05,0.067,,,
1981,M06,0.071,,,
1981,M07,0.073,,,
1981,M08,0.075,,,
1981,M09,0.074,,,
1981,M10,0.072,,,
1981,M11,0.071,,,
1981,M12,0.071,,,
1982,M01,0.073,,,
1982,M02,0.073,,,
1982,M03,0.075,,,
1982,M04,0.075,,,
1982,M05,0.075,,,
1982,M06,0.079,,,
1982,M07,0.079,,,
1982,M08,0.079,,,
1982,M09,0.079,,,
1982,M10,0.077,,,
1982,M11,0.074,,,
1982,M12,0.075,,,
1983,M01,0.075,,,
1983,M02,0.075,,,
1983,M03,0.076,,,
1983,M04,0.075,,,
1983,M05,0.077,,,
1983,M06,0.081,,,
1983,M07,0.082,,,
1983,M08,0.082,,,
1983,M09,0.082,,,
1983,M10,0.08,,,
1983,M11,0.077,,,
1983,M12,0.077,,,
1984,M01,0.078,,,
1984,M02,0.079,,,
1984,M03,0.079,,,
1984,M04,0.08,,,
1984,M05,0.081,,,
1984,M06,0.086,,,
1984,M07,0.087,,,
1984,M08,0.089,,,
1984,M09,0.084,,,
1984,M10,0.081,,,
1984,M11,0.079,,,
1984,M12,0.078,,,
1985,M01,0.079,,,
1985,M02,0.079,,,
1985,M03,0.079,,,
1985,M04,0.08,,,
1985,M05,0.08,,,
1985,M06,0.085,,,
1985,M07,0.085,,,
1985,M08,0.085,,,
1985,M10,0.082,,,
1985,M11,0.08,,,
1985,M12,0.08,,,
1986,M01,0.081,,,
1986,M02,0.075,,,
1986,M03,0.075,,,
1986,M04,0.074,,,
1986,M05,0.074,,,
1986,M06,0.08,,,
1986,M07,0.08,,,
1986,M08,0.08,,,
1986,M09,0.08,,,
1986,M10,0.074,,,
1986,M11,0.073,,,
1986,M12,0.073,,,
1987,M01,0.075,,,
1987,M02,0.076,,,
1987,M03,0.076,,,
1987,M04,0.076,,,
1987,M05,0.076,,,
1987,M06,0.084,,,
1987,M07,0.084,,,
1987,M08,0.085,,,
1987,M09,0.084,,,
1987,M10,0.078,,,
1987,M11,0.077,,,
1987,M12,0.077,,,
1988,M01,0.078,,,
1988,M02,0.078,,,
1988,M03,0.078,,,
1988,M04,0.077,,,
1988,M05,0.077,,,
1988,M06,0.084,,,
1988,M07,0.084,,,
1988,M08,0.084,,,
1988,M09,0.084,,,
1988,M10,0.08,,,
1988,M11,0.078,,,
1988,M12,0.078,,,
1989,M01,0.079,,,
1989,M02,0.079,,,
1989,M03,0.079,,,
1989,M04,0.079,,,
1989,M05,0.08,,,
