Year,Period,Value,periodName,latest,footnotes
1980,M01,0.203,,,
1980,M02,0.205,,,
1980,M03,0.211,,,
1980,M04,0.206,,,
1980,M05,0.207,,,
1980,M06,0.21,,,
1980,M07,0.214,,,
1980,M08,0.215,,,
1980,M09,0.214,,,
1980,M10,0.212,,,
1980,M11,0.211,,,
1980,M12,0.211,,,
1981,M01,0.217,,,
1981,M02,0.222,,,
1981,M03,0.224,,,
1981,M04,0.225,,,
1981,M05,0.227,,,
1981,M06,0.228,,,
1981,M07,0.228,,,
1981,M08,0.23,,,
1981,M09,0.225,,,
1981,M10,0.226,,,
1981,M11,0.221,,,
1981,M12,0.218,,,
1982,M01,0.224,,,
1982,M02,0.226,,,
1982,M03,0.223,,,
1982,M04,0.22,,,
1982,M05,0.228,,,
1982,M06,0.227,,,
1982,M07,0.232,,,
1982,M08,0.227,,,
1982,M09,0.223,,,
1982,M10,0.221,,,
1982,M11,0.216,,,
1982,M12,0.216,,,
1983,M01,0.217,,,
1983,M02,0.214,,,
1983,M03,0.211,,,
1983,M04,0.213,,,
1983,M05,0.216,,,
1983,M06,0.223,,,
1983,M07,0.223,,,
1983,M08,0.227,,,
1983,M09,0.223,,,
1983,M10,0.219,,,
1983,M11,0.217,,,
1983,M12,0.211,,,
1984,M01,0.213,,,
1984,M02,0.216,,,
1984,M03,0.216,,,
1984,M04,0.215,,,
1984,M05,0.215,,,
1984,M06,0.217,,,
1984,M07,0.219,,,
1984,M08,0.215,,,
1984,M09,0.212,,,
1984,M10,0.211,,,
1984,M11,0.208,,,
1984,M12,0.204,,,
1985,M01,0.212,,,
1985,M02,0.213,,,
1985,M03,0.212,,,
1985,M04,0.211,,,
1985,M05,0.215,,,
1985,M06,0.216,,,
1985,M07,0.216,,,
1985,M08,0.216,,,
1985,M09,0.212,,,
1985,M10,0.211,,,
1985,M11,0.207,,,
1985,M12,0.202,,,
1986,M01,0.207,,,
1986,M02,0.209,,,
1986,M03,0.208,,,
1986,M04,0.206,,,
1986,M05,0.211,,,
1986,M06,0.214,,,
1986,M07,0.214,,,
1986,M08,0.215,,,
1986,M09,0.211,,,
1986,M10,0.208,,,
1986,M11,0.2,,,
1986,M12,0.198,,,
1987,M01,0.202,,,
1987,M02,0.211,,,
1987,M03,0.202,,,
1987,M04,0.202,,,
1987,M05,0.208,,,
1987,M06,0.208,,,
1987,M07,0.213,,,
1987,M08,0.211,,,
1987,M09,0.207,,,
1987,M10,0.203,,,
1987,M11,0.2,,,
1987,M12,0.198,,,
1988,M01,0.202,,,
1988,M02,0.199,,,
1988,M03,0.202,,,
1988,M04,0.199,,,
1988,M05,0.208,,,
1988,M06,0.21,,,
1988,M07,0.215,,,
1988,M08,0.227,,,
1988,M09,0.233,,,
1988,M10,0.231,,,
1988,M11,0.22,,,
1988,M12,0.223,,,
1989,M01,0.228,,,
1989,M02,0.233,,,
1989,M03,0.234,,,
1989,M04,0.238,,,
1989,M05,0.241,,,
1989,M06,0.246,,,
1989,M07,0.254,,,
1989,M08,0.258,,,
1989,M09,0.256,,,
1989,M10,0.255,,,
1989,M11,0.248,,,
1989,M12,0.244,,,
1990,M01,0.253,,,
1990,M02,0.249,,,
1990,M03,0.252,,,
1990,M04,0.251,,,
1990,M05,0.254,,,
1990,M06,0.259,,,
1990,M07,0.26,,,
1990,M08,0.255,,,
1990,M09,0.249,,,
1990,M10,0.244,,,
1990,M11,0.235,,,
1990,M12,0.236,,,
1991,M01,0.244,,,
1991,M02,0.235,,,
1991,M03,0.235,,,
1991,M04,0.237,,,
1991,M05,0.235,,,
1991,M06,0.237,,,
1991,M07,0.239,,,
1991,M08,0.238,,,
1991,M09,0.232,,,
1991,M10,0.23,,,
1991,M11,0.218,,,
1991,M12,0.223,,,
1992,M01,0.241,,,
1992,M02,0.244,,,
1992,M03,0.239,,,
1992,M04,0.238,,,
1992,M05,0.245,,,
1992,M06,0.244,,,
1992,M07,0.252,,,
1992,M08,0.256,,,
1992,M09,0.249,,,
1992,M10,0.241,,,
1992,M11,0.234,,,
1992,M12,0.233,,,
1993,M01,0.242,,,
1993,M02,0.242,,,
1993,M03,0.238,,,
1993,M04,0.23,,,
1993,M05,0.239,,,
1993,M06,0.238,,,
1993,M07,0.237,,,
1993,M08,0.238,,,
1993,M09,0.232,,,
1993,M10,0.228,,,
1993,M11,0.227,,,
1993,M12,0.222,,,
1994,M01,0.233,,,
1994,M02,0.23,,,
1994,M03,0.226,,,
1994,M04,0.226,,,
1994,M05,0.229,,,
1994,M06,0.236,,,
1994,M07,0.236,,,
1994,M08,0.238,,,
1994,M09,0.237,,,
1994,M10,0.232,,,
1994,M11,0.225,,,
1994,M12,0.225,,,
1995,M01,0.238,,,
1995,M02,0.242,,,
1995,M03,0.242,,,
1995,M04,0.236,,,
1995,M05,0.244,,,
1995,M06,0.244,,,
1995,M07,0.248,,,
1995,M08,0.255,,,
1995,M09,0.256,,,
1995,M10,0.254,,,
1995,M11,0.243,,,
