Year,Period,Value,periodName,latest,footnotes
1980,M01,1.131,,,
1980,M02,1.207,,,
1980,M03,1.252,,,
1980,M04,1.264,,,
1980,M05,1.266,,,
1980,M06,1.269,,,
1980,M07,1.271,,,
1980,M08,1.267,,,
1980,M09,1.257,,,
1980,M10,1.25,,,
1980,M11,1.25,,,
1980,M12,1.258,,,
1981,M01,1.298,,,
1981,M02,1.382,,,
1981,M03,1.417,,,
1981,M04,1.412,,,
1981,M05,1.4,,,
1981,M06,1.391,,,
1981,M07,1.382,,,
1981,M08,1.376,,,
1981,M09,1.376,,,
1981,M10,1.371,,,
1981,M11,1.369,,,
1981,M12,1.365,,,
1982,M01,1.358,,,
1982,M02,1.334,,,
1982,M03,1.284,,,
1982,M04,1.225,,,
1982,M05,1.237,,,
1982,M06,1.309,,,
1982,M07,1.331,,,
1982,M08,1.323,,,
1982,M09,1.307,,,
1982,M10,1.295,,,
1982,M11,1.283,,,
1982,M12,1.26,,,
1983,M01,1.23,,,
1983,M02,1.187,,,
1983,M03,1.152,,,
1983,M04,1.215,,,
1983,M05,1.259,,,
1983,M06,1.277,,,
1983,M07,1.288,,,
1983,M08,1.285,,,
1983,M09,1.274,,,
1983,M10,1.255,,,
1983,M11,1.241,,,
1983,M12,1.231,,,
1984,M01,1.216,,,
1984,M02,1.209,,,
1984,M03,1.21,,,
1984,M04,1.227,,,
1984,M05,1.236,,,
1984,M06,1.229,,,
1984,M07,1.212,,,
1984,M08,1.196,,,
1984,M09,1.203,,,
1984,M10,1.209,,,
1984,M11,1.207,,,
1984,M12,1.193,,,
1985,M01,1.148,,,
1985,M02,1.131,,,
1985,M03,1.159,,,
1985,M04,1.205,,,
1985,M05,1.231,,,
1985,M06,1.241,,,
1985,M07,1.242,,,
1985,M08,1.229,,,
1985,M09,1.216,,,
1985,M10,1.204,,,
1985,M11,1.207,,,
1985,M12,1.208,,,
1986,M01,1.194,,,
1986,M02,1.12,,,
1986,M03,0.981,,,
1986,M04,0.888,,,
1986,M05,0.923,,,
1986,M06,0.955,,,
1986,M07,0.89,,,
1986,M08,0.843,,,
1986,M09,0.86,,,
1986,M10,0.831,,,
1986,M11,0.821,,,
1986,M12,0.823,,,
1987,M01,0.862,,,
1987,M02,0.905,,,
1987,M03,0.912,,,
1987,M04,0.934,,,
1987,M05,0.941,,,
1987,M06,0.958,,,
1987,M07,0.971,,,
1987,M08,0.995,,,
1987,M09,0.99,,,
1987,M10,0.976,,,
1987,M11,0.976,,,
1987,M12,0.961,,,
1988,M01,0.933,,,
1988,M02,0.913,,,
1988,M03,0.904,,,
1988,M04,0.93,,,
1988,M05,0.955,,,
1988,M06,0.955,,,
1988,M07,0.967,,,
1988,M08,0.987,,,
1988,M09,0.974,,,
1988,M10,0.957,,,
1988,M11,0.949,,,
1988,M12,0.93,,,
1989,M01,0.918,,,
1989,M02,0.926,,,
1989,M03,0.94,,,
1989,M04,1.065,,,
1989,M05,1.119,,,
1989,M06,1.114,,,
1989,M07,1.092,,,
1989,M08,1.057,,,
1989,M09,1.029,,,
1989,M10,1.027,,,
1989,M11,0.999,,,
1989,M12,0.98,,,
1990,M01,1.042,,,
1990,M02,1.037,,,
1990,M03,1.023,,,
1990,M04,1.044,,,
1990,M05,1.061,,,
1990,M06,1.088,,,
1990,M07,1.084,,,
1990,M08,1.19,,,
1990,M09,1.294,,,
1990,M10,1.378,,,
1990,M11,1.377,,,
1990,M12,1.354,,,
1991,M01,1.247,,,
1991,M02,1.143,,,
1991,M03,1.082,,,
1991,M04,1.104,,,
1991,M05,1.156,,,
1991,M06,1.16,,,
1991,M07,1.127,,,
1991,M08,1.14,,,
1991,M09,1.143,,,
1991,M10,1.122,,,
1991,M11,1.134,,,
1991,M12,1.123,,,
1992,M01,1.073,,,
1992,M02,1.054,,,
1992,M03,1.058,,,
