YEAR,QUARTER,ID,INDUSTRY,PRCCPI1,PRCCPI2,PRCCPI3,PRCCPI4,PRCCPI5,PRCCPI6,PRCCPI7,PRCCPI8,PRCCPI9,PRCCPI10,PRCCPI11,PRCCPI12,PRCCPI13,PRCCPI14,PRCCPI15,PRCCPI16,PRCCPI17,PRCCPI18,PRCCPI19,PRCCPI20
1968,4,1,,,,,,,,,,,,,,,,,,,,,
1968,4,2,,,,,,,,,,,,,,,,,,,,,
1968,4,3,,,,,,,,,,,,,,,,,,,,,
1968,4,4,,,,,,,,,,,,,,,,,,,,,
1968,4,5,,,,,,,,,,,,,,,,,,,,,
1968,4,6,,,,,,,,,,,,,,,,,,,,,
1968,4,7,,,,,,,,,,,,,,,,,,,,,
1968,4,8,,,,,,,,,,,,,,,,,,,,,
1968,4,9,,,,,,,,,,,,,,,,,,,,,
1968,4,10,,,,,,,,,,,,,,,,,,,,,
1968,4,11,,,,,,,,,,,,,,,,,,,,,
1968,4,12,,,,,,,,,,,,,,,,,,,,,
1968,4,13,,,,,,,,,,,,,,,,,,,,,
1968,4,14,,,,,,,,,,,,,,,,,,,,,
1968,4,15,,,,,,,,,,,,,,,,,,,,,
1968,4,16,,,,,,,,,,,,,,,,,,,,,
1968,4,17,,,,,,,,,,,,,,,,,,,,,
1968,4,18,,,,,,,,,,,,,,,,,,,,,
1968,4,19,,,,,,,,,,,,,,,,,,,,,
1968,4,20,,,,,,,,,,,,,,,,,,,,,
1968,4,21,,,,,,,,,,,,,,,,,,,,,
1968,4,22,,,,,,,,,,,,,,,,,,,,,
1968,4,23,,,,,,,,,,,,,,,,,,,,,
1968,4,24,,,,,,,,,,,,,,,,,,,,,
1968,4,25,,,,,,,,,,,,,,,,,,,,,
1968,4,26,,,,,,,,,,,,,,,,,,,,,
1968,4,27,,,,,,,,,,,,,,,,,,,,,
1968,4,29,,,,,,,,,,,,,,,,,,,,,
1968,4,30,,,,,,,,,,,,,,,,,,,,,
1968,4,31,,,,,,,,,,,,,,,,,,,,,
1968,4,32,,,,,,,,,,,,,,,,,,,,,
1968,4,33,,,,,,,,,,,,,,,,,,,,,
1968,4,34,,,,,,,,,,,,,,,,,,,,,
1968,4,35,,,,,,,,,,,,,,,,,,,,,
1968,4,36,,,,,,,,,,,,,,,,,,,,,
1968,4,37,,,,,,,,,,,,,,,,,,,,,
1968,4,38,,,,,,,,,,,,,,,,,,,,,
1968,4,39,,,,,,,,,,,,,,,,,,,,,
1968,4,40,,,,,,,,,,,,,,,,,,,,,
1968,4,41,,,,,,,,,,,,,,,,,,,,,
1968,4,42,,,,,,,,,,,,,,,,,,,,,
1968,4,43,,,,,,,,,,,,,,,,,,,,,
1968,4,45,,,,,,,,,,,,,,,,,,,,,
1968,4,46,,,,,,,,,,,,,,,,,,,,,
1968,4,47,,,,,,,,,,,,,,,,,,,,,
1968,4,48,,,,,,,,,,,,,,,,,,,,,
1968,4,49,,,,,,,,,,,,,,,,,,,,,
1968,4,50,,,,,,,,,,,,,,,,,,,,,
