"YEAR FORECAST MADE","QUARTER","YEAR BEING FORECAST","INDICATOR","FORECASTER ID","INDUSTRY","Year.ID.ForecastYear.Quarter","Indicator.Year.ID.ForecastYear.Quarter","BIN 1","BIN 2","BIN 3","BIN 4","BIN 5","BIN 6","BIN 7","BIN 8","BIN 9","BIN 10","BIN 11","BIN 1 prob","BIN 2 prob","BIN 3 prob","BIN 4 prob","BIN 5 prob","BIN 6 prob","BIN 7 prob","BIN 8 prob","BIN 9 prob","BIN 10 prob","BIN 11 prob","BIN 1 midpoint","BIN 2 midpoint","BIN 3 midpoint","BIN 4 midpoint","BIN 5 midpoint","BIN 6 midpoint","BIN 7 midpoint","BIN 8 midpoint","BIN 9 midpoint","BIN 10 midpoint","BIN 11 midpoint","nbin","bin_value_sum","TDIST","actual","ACTUAL_BIN","MAX","NUM_OF_MAX","ACTUAL_CONF","HIT","pred_average","pred_var"
1992,1,1992,"RealGDP",430,2,"1992-430-1992-1","RealGDP-1992-430-1992-1",0,2,3,5,15,35,25,10,3,2,,0,0.02,0.03,0.05,0.15,0.35,0.25,0.1,0.03,0.02,,6.5,5.5,4.5,3.5,2.5,1.5,0.5,-0.5,-1.5,-2.5,,10,100,0.75,3.52244,4,0.35,1,0.05,0,1.3,2.14
1992,1,1992,"RealGDP",404,2,"1992-404-1992-1","RealGDP-1992-404-1992-1",0,0,0,0,30,50,20,0,0,0,,0,0,0,0,0.3,0.5,0.2,0,0,0,,6.5,5.5,4.5,3.5,2.5,1.5,0.5,-0.5,-1.5,-2.5,,10,100,0.75,3.52244,4,0.5,1,0,0,1.6,0.49
1992,1,1992,"RealGDP",436,2,"1992-436-1992-1","RealGDP-1992-436-1992-1",0,0,0,5,15,60,10,10,0,0,,0,0,0,0.05,0.15,0.6,0.1,0.1,0,0,,6.5,5.5,4.5,3.5,2.5,1.5,0.5,-0.5,-1.5,-2.5,,10,100,0.75,3.52244,4,0.6,1,0.05,0,1.45,0.8475
1992,1,1992,"RealGDP",433,2,"1992-433-1992-1","RealGDP-1992-433-1992-1",0,0,0,5,25,50,15,5,0,0,,0,0,0,0.05,0.25,0.5,0.15,0.05,0,0,,6.5,5.5,4.5,3.5,2.5,1.5,0.5,-0.5,-1.5,-2.5,,10,100,0.75,3.52244,4,0.5,1,0.05,0,1.6,0.79
1992,1,1992,"RealGDP",65,1,"1992-65-1992-1","RealGDP-1992-65-1992-1",0,0,0,0,10,80,10,0,0,0,,0,0,0,0,0.1,0.8,0.1,0,0,0,,6.5,5.5,4.5,3.5,2.5,1.5,0.5,-0.5,-1.5,-2.5,,10,100,0.75,3.52244,4,0.8,1,0,0,1.5,0.2
1992,1,1992,"RealGDP",84,1,"1992-84-1992-1","RealGDP-1992-84-1992-1",0,0,0,3,12,40,18,15,8,4,,0,0,0,0.03,0.12,0.4,0.18,0.15,0.08,0.04,,6.5,5.5,4.5,3.5,2.5,1.5,0.5,-0.5,-1.5,-2.5,,10,100,0.75,3.52244,4,0.4,1,0.03,0,0.8,1.89
1992,1,1992,"RealGDP",416,2,"1992-416-1992-1","RealGDP-1992-416-1992-1",0,0,0,0,10,60,20,10,0,0,,0,0,0,0,0.1,0.6,0.2,0.1,0,0,,6.5,5.5,4.5,3.5,2.5,1.5,0.5,-0.5,-1.5,-2.5,,10,100,0.75,3.52244,4,0.6,1,0,0,1.2,0.61
1992,1,1992,"RealGDP",420,1,"1992-420-1992-1","RealGDP-1992-420-1992-1",5,5,5,5,20,40,10,5,5,0,,0.05,0.05,0.05,0.05,0.2,0.4,0.1,0.05,0.05,0,,6.5,5.5,4.5,3.5,2.5,1.5,0.5,-0.5,-1.5,-2.5,,10,100,0.75,3.52244,4,0.4,1,0.05,0,2.05,3.3475
1992,1,1992,"RealGDP",407,1,"1992-407-1992-1","RealGDP-1992-407-1992-1",0,0,0,5,15,65,15,0,0,0,,0,0,0,0.05,0.15,0.65,0.15,0,0,0,,6.5,5.5,4.5,3.5,2.5,1.5,0.5,-0.5,-1.5,-2.5,,10,100,0.75,3.52244,4,0.65,1,0.05,0,1.6,0.49
1992,1,1992,"RealGDP",424,1,"1992-424-1992-1","RealGDP-1992-424-1992-1",0,0,0,0,15,20,65,0,0,0,,0,0,0,0,0.15,0.2,0.65,0,0,0,,6.5,5.5,4.5,3.5,2.5,1.5,0.5,-0.5,-1.5,-2.5,,10,100,0.75,3.52244,4,0.65,1,0,0,1,0.55
