Year.ID.ForecastYear.Quarter,YEAR FORECAST MADE,YEAR BEING FORECAST,QUARTER,FORECASTER ID,INDUSTRY,BIN 1,BIN 2,BIN 3,BIN 4,BIN 5,BIN 6,BIN 7,BIN 8,BIN 9,BIN 10,INDICATOR,TDIST
2007-20-2007-1,2007,2007,1,20,2.0,0.0,0.0,10.0,20.0,60.0,10.0,0.0,0.0,0.0,0.0,Core PCE,0.75
2007-84-2007-1,2007,2007,1,84,1.0,,,,,,,,,,,Core PCE,0.75
2007-405-2007-1,2007,2007,1,405,1.0,,,,,,,,,,,Core PCE,0.75
2007-407-2007-1,2007,2007,1,407,2.0,,,,,,,,,,,Core PCE,0.75
2007-411-2007-1,2007,2007,1,411,2.0,0.0,0.0,0.0,20.0,30.0,30.0,20.0,0.0,0.0,0.0,Core PCE,0.75
2007-420-2007-1,2007,2007,1,420,2.0,0.0,0.0,0.0,5.0,30.0,60.0,5.0,0.0,0.0,0.0,Core PCE,0.75
2007-421-2007-1,2007,2007,1,421,2.0,0.0,0.0,3.0,10.0,45.0,40.0,2.0,0.0,0.0,0.0,Core PCE,0.75
2007-424-2007-1,2007,2007,1,424,1.0,1.0,1.0,1.0,1.0,10.0,65.0,18.0,1.0,1.0,1.0,Core PCE,0.75
2007-426-2007-1,2007,2007,1,426,2.0,,,,,,,,,,,Core PCE,0.75
2007-428-2007-1,2007,2007,1,428,2.0,,,,,,,,,,,Core PCE,0.75
2007-431-2007-1,2007,2007,1,431,1.0,0.0,0.0,0.0,15.0,55.0,20.0,10.0,0.0,0.0,0.0,Core PCE,0.75
2007-433-2007-1,2007,2007,1,433,2.0,,,,,,,,,,,Core PCE,0.75
2007-446-2007-1,2007,2007,1,446,2.0,0.0,0.0,0.0,5.0,10.0,70.0,10.0,5.0,0.0,0.0,Core PCE,0.75
2007-448-2007-1,2007,2007,1,448,2.0,0.0,5.0,5.0,20.0,50.0,10.0,10.0,0.0,0.0,0.0,Core PCE,0.75
2007-456-2007-1,2007,2007,1,456,1.0,0.0,0.0,0.0,0.0,30.0,60.0,10.0,0.0,0.0,0.0,Core PCE,0.75
2007-463-2007-1,2007,2007,1,463,2.0,0.0,0.0,1.0,9.0,40.0,40.0,9.0,1.0,0.0,0.0,Core PCE,0.75
2007-472-2007-1,2007,2007,1,472,2.0,,,,,,,,,,,Core PCE,0.75
2007-483-2007-1,2007,2007,1,483,3.0,2.0,3.0,4.0,8.0,15.0,25.0,20.0,15.0,8.0,0.0,Core PCE,0.75
2007-484-2007-1,2007,2007,1,484,2.0,0.0,1.0,8.0,35.0,30.0,25.0,1.0,0.0,0.0,0.0,Core PCE,0.75
2007-497-2007-1,2007,2007,1,497,1.0,,,,,,,,,,,Core PCE,0.75
2007-504-2007-1,2007,2007,1,504,1.0,0.0,0.0,0.0,0.0,20.0,50.0,30.0,0.0,0.0,0.0,Core PCE,0.75
2007-507-2007-1,2007,2007,1,507,3.0,0.0,0.0,0.0,5.0,75.0,20.0,0.0,0.0,0.0,0.0,Core PCE,0.75
2007-508-2007-1,2007,2007,1,508,2.0,0.0,0.0,0.0,4.0,46.0,44.0,5.0,1.0,0.0,0.0,Core PCE,0.75
2007-510-2007-1,2007,2007,1,510,2.0,0.0,0.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0,0.0,Core PCE,0.75
2007-512-2007-1,2007,2007,1,512,2.0,0.0,0.0,0.0,30.0,50.0,20.0,0.0,0.0,0.0,0.0,Core PCE,0.75
2007-516-2007-1,2007,2007,1,516,1.0,0.0,0.0,0.0,0.0,10.0,30.0,30.0,20.0,9.9,0.1,Core PCE,0.75
