Year.ID.ForecastYear.Quarter,YEAR FORECAST MADE,YEAR BEING FORECAST,QUARTER,FORECASTER ID,INDUSTRY,BIN 1,BIN 2,BIN 3,BIN 4,BIN 5,BIN 6,BIN 7,BIN 8,BIN 9,BIN 10,BIN 11,BIN 12,BIN 13,BIN 14,BIN 15,INDICATOR,TDIST
1992-20-1992-1,1992,1992,1,20,2.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0,,,,,,RealGDP,0.75
1992-30-1992-1,1992,1992,1,30,3.0,0.0,0.0,10.0,60.0,30.0,0.0,0.0,0.0,0.0,0.0,,,,,,RealGDP,0.75
1992-35-1992-1,1992,1992,1,35,2.0,0.0,0.0,10.0,10.0,20.0,50.0,10.0,0.0,0.0,0.0,,,,,,RealGDP,0.75
1992-40-1992-1,1992,1992,1,40,2.0,,,,,,,,,,,,,,,,RealGDP,0.75
1992-60-1992-1,1992,1992,1,60,2.0,0.0,0.0,0.0,0.0,5.0,60.0,30.0,5.0,0.0,0.0,,,,,,RealGDP,0.75
1992-62-1992-1,1992,1992,1,62,2.0,0.0,0.0,0.0,5.0,20.0,50.0,20.0,5.0,0.0,0.0,,,,,,RealGDP,0.75
1992-65-1992-1,1992,1992,1,65,1.0,0.0,0.0,0.0,0.0,10.0,80.0,10.0,0.0,0.0,0.0,,,,,,RealGDP,0.75
1992-84-1992-1,1992,1992,1,84,1.0,0.0,0.0,0.0,3.0,12.0,40.0,18.0,15.0,8.0,4.0,,,,,,RealGDP,0.75
1992-94-1992-1,1992,1992,1,94,1.0,0.0,0.0,0.0,15.0,30.0,40.0,5.0,5.0,5.0,0.0,,,,,,RealGDP,0.75
1992-99-1992-1,1992,1992,1,99,1.0,0.0,0.0,5.0,15.0,65.0,10.0,5.0,0.0,0.0,0.0,,,,,,RealGDP,0.75
1992-404-1992-1,1992,1992,1,404,2.0,0.0,0.0,0.0,0.0,30.0,50.0,20.0,0.0,0.0,0.0,,,,,,RealGDP,0.75
1992-405-1992-1,1992,1992,1,405,1.0,0.0,0.0,0.0,5.0,30.0,40.0,20.0,5.0,0.0,0.0,,,,,,RealGDP,0.75
1992-406-1992-1,1992,1992,1,406,1.0,0.0,0.0,0.0,5.0,60.0,35.0,0.0,0.0,0.0,0.0,,,,,,RealGDP,0.75
1992-407-1992-1,1992,1992,1,407,1.0,0.0,0.0,0.0,5.0,15.0,65.0,15.0,0.0,0.0,0.0,,,,,,RealGDP,0.75
1992-408-1992-1,1992,1992,1,408,1.0,0.0,0.0,5.0,20.0,60.0,10.0,5.0,0.0,0.0,0.0,,,,,,RealGDP,0.75
1992-409-1992-1,1992,1992,1,409,1.0,0.0,0.0,0.0,0.0,15.0,75.0,10.0,0.0,0.0,0.0,,,,,,RealGDP,0.75
1992-410-1992-1,1992,1992,1,410,2.0,0.0,5.0,15.0,20.0,25.0,35.0,0.0,0.0,0.0,0.0,,,,,,RealGDP,0.75
1992-411-1992-1,1992,1992,1,411,2.0,0.0,1.0,2.0,3.0,20.0,50.0,20.0,3.0,1.0,0.0,,,,,,RealGDP,0.75
1992-414-1992-1,1992,1992,1,414,1.0,0.0,0.0,0.0,5.0,35.0,50.0,10.0,0.0,0.0,0.0,,,,,,RealGDP,0.75
1992-416-1992-1,1992,1992,1,416,2.0,0.0,0.0,0.0,0.0,10.0,60.0,20.0,10.0,0.0,0.0,,,,,,RealGDP,0.75
1992-418-1992-1,1992,1992,1,418,1.0,0.0,0.0,0.0,0.0,5.0,75.0,20.0,0.0,0.0,0.0,,,,,,RealGDP,0.75
1992-420-1992-1,1992,1992,1,420,1.0,5.0,5.0,5.0,5.0,20.0,40.0,10.0,5.0,5.0,0.0,,,,,,RealGDP,0.75
1992-421-1992-1,1992,1992,1,421,1.0,0.0,0.0,0.0,5.0,20.0,50.0,20.0,5.0,0.0,0.0,,,,,,RealGDP,0.75
1992-422-1992-1,1992,1992,1,422,1.0,0.0,0.0,5.0,45.0,30.0,16.0,3.0,1.0,0.0,0.0,,,,,,RealGDP,0.75
1992-423-1992-1,1992,1992,1,423,2.0,,,,,,,,,,,,,,,,RealGDP,0.75
1992-424-1992-1,1992,1992,1,424,1.0,0.0,0.0,0.0,0.0,15.0,20.0,65.0,0.0,0.0,0.0,,,,,,RealGDP,0.75
1992-426-1992-1,1992,1992,1,426,1.0,0.0,0.0,0.0,10.0,15.0,55.0,10.0,5.0,5.0,0.0,,,,,,RealGDP,0.75
1992-427-1992-1,1992,1992,1,427,1.0,1.0,4.0,5.0,10.0,20.0,25.0,20.0,10.0,4.0,1.0,,,,,,RealGDP,0.75
1992-428-1992-1,1992,1992,1,428,2.0,0.0,0.0,0.0,10.0,30.0,40.0,20.0,0.0,0.0,0.0,,,,,,RealGDP,0.75
1992-429-1992-1,1992,1992,1,429,2.0,,,,,,,,,,,,,,,,RealGDP,0.75
1992-430-1992-1,1992,1992,1,430,2.0,0.0,2.0,3.0,5.0,15.0,35.0,25.0,10.0,3.0,2.0,,,,,,RealGDP,0.75
1992-432-1992-1,1992,1992,1,432,1.0,,,,,,,,,,,,,,,,RealGDP,0.75
1992-433-1992-1,1992,1992,1,433,2.0,0.0,0.0,0.0,5.0,25.0,50.0,15.0,5.0,0.0,0.0,,,,,,RealGDP,0.75
1992-434-1992-1,1992,1992,1,434,1.0,0.0,0.0,0.0,0.0,60.0,30.0,10.0,0.0,0.0,0.0,,,,,,RealGDP,0.75
1992-435-1992-1,1992,1992,1,435,2.0,0.0,0.0,0.0,5.0,20.0,60.0,10.0,5.0,0.0,0.0,,,,,,RealGDP,0.75
1992-436-1992-1,1992,1992,1,436,2.0,0.0,0.0,0.0,5.0,15.0,60.0,10.0,10.0,0.0,0.0,,,,,,RealGDP,0.75
1992-437-1992-1,1992,1992,1,437,1.0,5.0,5.0,15.0,25.0,30.0,15.0,5.0,0.0,0.0,0.0,,,,,,RealGDP,0.75
1992-438-1992-1,1992,1992,1,438,1.0,0.0,0.0,5.0,10.0,10.0,60.0,15.0,0.0,0.0,0.0,,,,,,RealGDP,0.75
1992-439-1992-1,1992,1992,1,439,2.0,0.0,0.0,0.0,5.0,30.0,60.0,5.0,0.0,0.0,0.0,,,,,,RealGDP,0.75
1992-440-1992-1,1992,1992,1,440,1.0,0.0,0.0,0.0,5.0,25.0,40.0,25.0,5.0,0.0,0.0,,,,,,RealGDP,0.75
1992-30-1992-2,1992,1992,2,30,3.0,0.0,0.0,0.0,15.0,70.0,15.0,0.0,0.0,0.0,0.0,,,,,,RealGDP,0.5
1992-35-1992-2,1992,1992,2,35,2.0,1.0,1.0,10.0,15.0,40.0,15.0,10.0,5.0,2.0,1.0,,,,,,RealGDP,0.5
1992-40-1992-2,1992,1992,2,40,2.0,0.0,0.0,0.0,0.0,35.0,35.0,30.0,0.0,0.0,0.0,,,,,,RealGDP,0.5
1992-60-1992-2,1992,1992,2,60,2.0,0.0,0.0,0.0,0.0,60.0,35.0,5.0,0.0,0.0,0.0,,,,,,RealGDP,0.5
1992-62-1992-2,1992,1992,2,62,2.0,0.0,0.0,0.0,10.0,45.0,35.0,10.0,0.0,0.0,0.0,,,,,,RealGDP,0.5
1992-65-1992-2,1992,1992,2,65,1.0,0.0,0.0,0.0,5.0,75.0,20.0,0.0,0.0,0.0,0.0,,,,,,RealGDP,0.5
1992-84-1992-2,1992,1992,2,84,1.0,0.0,0.0,0.0,0.0,20.0,75.0,5.0,0.0,0.0,0.0,,,,,,RealGDP,0.5
1992-94-1992-2,1992,1992,2,94,1.0,0.0,5.0,10.0,10.0,40.0,15.0,10.0,5.0,5.0,0.0,,,,,,RealGDP,0.5
1992-99-1992-2,1992,1992,2,99,1.0,0.0,0.0,5.0,25.0,55.0,11.0,4.0,0.0,0.0,0.0,,,,,,RealGDP,0.5
