"","actual","pred_average","ts","year"
"14",3.48321999999999,3.56085616438356,4.62928230685573,2005
"15",2.78281000000001,3.23877274416869,3.83708035958073,2006
"18",2.01050999999999,2.49276437630325,1.94896032675039,2007
"21",0.122190000000001,1.88361485995856,-0.548311749100359,2008
"24",-2.59988999999998,-0.179451495685535,-4.17156016127409,2009
"28",2.70885999999998,2.41641737503767,1.72113951010479,2010
"32",1.54989999999999,2.5981363946539,1.96630551133521,2011
"36",2.28069000000003,2.63910622130308,2.05129808676214,2012
"40",1.84186999999998,2.36522914013934,1.83108745083375,2013
"44",2.28778000000004,2.58032867759563,1.57324582927777,2014
"48",2.70637000000004,2.66977872912802,2.23478776806077,2015
"52",1.66747,2.34146568190476,1.8617823365212,2016
"56",2.25567999999999,2.28681146692607,1.95957949935972,2017
"60",2.91886,2.32346176701031,2.25773563795253,2018
"64",2.28887000000001,2.20146786051502,2.34336786717974,2019
"68",-3.40459000000004,1.12915921247113,-0.3532175421732,2020
"17",0.6439885,0.6439885,0.6439885,0.6439885
