"","actual","pred_average","ts","year"
"37",8.07499999999991,8.32564070713113,7.7054056608794,2012
"41",7.3583332716962,7.82927444862046,7.45951581241885,2013
"45",6.15833316593453,7.06698175245571,6.08519094068101,2014
"49",5.27500000000006,6.22186438167939,4.82335154012618,2015
"53",4.875,5.46923800389105,4.61535541449905,2016
"57",4.34999999999995,4.99291240733198,4.17972887756359,2017
"61",3.89166700000001,4.59048040268456,3.70870783346336,2018
"65",3.68333299999996,4.29241833712983,3.78773471782735,2019
"69",8.10833300000006,4.96551754028436,3.75645345790804,2020
"10",3.817379,3.817379,3.817379,3.817379
