INDICATOR,Unemployment actual,INDICATOR,RealGDP actual,INDICATOR,Core CPI actual,INDICATOR,Core PCE actual,XGBoost Unemployment,XGBoost RealGDP,XGBoost Core CPI,XGBoost Core PCE,Random Forest Unemployment,Random Forest RealGDP,Random Forest Core CPI,Random Forest Core PCE,Linear Regression Unemployment,Linear Regression RealGDP,Linear Regression Core CPI,Linear Regression Core PCE,KNeigborsRegressor Unemployment,KNeigborsRegressor RealGDP,KNeigborsRegressor Core CPI,KNeigborsRegressor Core PCE
Unemployment,0.0,RealGDP,2.99646,Core CPI,2.290573,Core PCE,1.1841665165822,0.08192559,2.5001261,2.2918594,1.232153,0.08108333,2.6098571000000046,2.279672329999997,1.2506967084689133,2.763758212153469,1.9131187248239012,2.0371166135599683,2.1536846683836934,1.6216666,2.563892,2.2707536,1.237390670091572
Unemployment,3.891667,RealGDP,4.44722,Core CPI,2.17432412557292,Core PCE,1.1841665165822,3.8205912,4.1237764,2.13203,1.2451361,3.866666919999999,4.211068000000002,2.1743241255729227,1.404764742974834,4.956422008209415,2.2589821259572878,1.6736504621635948,1.083817863569971,3.8500001999999993,4.319114,2.17432412557292,1.439256688010336
Unemployment,3.683333,RealGDP,4.75324,Core CPI,2.17432412557292,Core PCE,1.647664,3.8521984,4.178174,2.079864,1.6278838,3.7169163666666702,4.146252799999996,1.9407703729571946,1.6440986794515253,3.9380262560206525,2.474587224313889,1.8025909036277525,1.9090561299001019,3.8083334,4.387366,1.5628234859290857,1.647664
Unemployment,8.108333,RealGDP,2.99646,Core CPI,2.290573,Core PCE,1.664742,8.142979,1.3121834,2.1939564,1.7514503,8.108333000000012,0.5701596000000001,2.2231870399999965,1.7266421199999988,4.8163429431475215,0.6516972560519996,2.0039694266175516,2.245712342426626,6.338333,-1.492464,2.2311148000000003,1.7276020000000003
Unemployment,4.35,RealGDP,4.75324,Core CPI,2.290573,Core PCE,1.55932373235605,4.3464184,4.9144106,2.220703,1.585213,4.350000000000008,4.559254400000001,2.2221960699999967,1.71890923157338,4.817754853697863,4.01355080820779,2.108200039555369,2.2648203339229935,4.35,4.377784,2.2491108,1.9756337303142981
Unemployment,3.891667,RealGDP,2.33268,Core CPI,1.72314678876611,Core PCE,1.647664,3.7573578,2.5738952,1.9242845,1.7257959,3.8427085099999987,2.3732417500000036,1.940487249302531,1.6947059715424602,3.8116965217384404,2.523275098840327,1.7721098755230376,1.5429310381116128,3.7666666000000006,2.4654359999999995,1.8142794973868237,1.7958631999999999
Unemployment,9.60833333333333,RealGDP,4.12748,Core CPI,1.72314678876611,Core PCE,2.25317372895313,9.630597,4.1105504,1.7071247,2.0040414,9.608333333333347,4.127479999999995,1.7242075834942279,2.1074652296677434,8.993742327481577,4.248706846862687,1.6987467908941003,2.1008993906171813,9.60833333333333,4.377784,1.7247280976775858,1.9756337303142981
Unemployment,4.35,RealGDP,3.7725,Core CPI,2.191476,Core PCE,1.45028728412906,4.3857465,4.1134768,2.1726863,1.282141,4.364500000000008,4.2313096,2.174166901999997,1.2134398010123528,4.889879922912439,2.699881463370474,2.099864546892242,1.5439977683833952,4.35,4.177332,2.1016978,1.3438389771103159
Unemployment,5.275,RealGDP,1.87618,Core CPI,1.7271000610448,Core PCE,1.45028728412906,5.2824917,1.5514197,1.8665825,1.34941,5.27499999999999,1.5742660000000028,1.9198233088655354,1.4263364150498419,5.143765707690424,1.144347973410718,1.703099460617409,1.515403195021773,5.275,1.760494,1.8339398981759882,1.3438389771103159
Unemployment,4.875,RealGDP,1.84208,Core CPI,1.94900192417855,Core PCE,1.82189194515254,4.6710143,1.8223829,1.9709932,1.6937757,4.6587875000000025,1.9337941000000023,2.0289577020326246,1.630574316581438,4.154843314453107,2.2688812848585114,1.4870899531329975,1.4523670230572545,4.665000000000001,2.115636,2.1292596852940457,1.439256688010336
Unemployment,8.93333333333333,RealGDP,2.8612,Core CPI,1.72314678876611,Core PCE,1.52903905586508,9.225754,2.88285,1.7333217,1.4858882,9.369083333333329,2.861199999999997,1.7237477802780037,1.5472300515439903,8.727206808704992,2.7638260608310734,1.8039696911589704,1.7259258419647425,9.273333333333332,2.8612,1.7255187521333242,1.547209861759662
Unemployment,9.60833333333333,RealGDP,-3.48626,Core CPI,2.18235875482555,Core PCE,1.57823742497407,9.387792,-3.453214,2.1733437,1.6829163,9.545750000000007,-3.4862600000000095,2.1729507997779067,1.6928540565920454,10.105939754200481,0.0793800053261613,2.2052821109895238,1.303638716427626,9.60833333333333,-2.091756,2.18235875482555,1.624095075417154
Unemployment,4.875,RealGDP,2.85497,Core CPI,1.75022285064397,Core PCE,2.009623,4.561896,2.8758473,1.764575,2.001624,4.565816666666672,2.8549700000000007,1.7527157624797454,1.9979235704965757,4.288852918426176,1.7705316245204967,1.6671644871263869,1.6520855206791438,4.665000000000001,2.85497,1.7502228506439699,2.009623
Unemployment,7.35833333333333,RealGDP,3.7725,Core CPI,0.0,Core PCE,2.009623,7.332308,4.0962105,0.0044669677,2.0114057,7.431583333333339,4.170584799999999,0.0,1.998764230000003,6.68989560478936,2.463366997421561,2.2531771962477887,1.6696857549477127,7.11833333333333,4.18417,0.0,2.009623
Unemployment,9.60833333333333,RealGDP,3.52244,Core CPI,1.94900192417855,Core PCE,1.664742,9.605054,3.430589,2.1340733,1.8083886,9.608333333333347,3.369308400000001,2.062195348465207,1.8010623021632393,9.49407397768669,2.94263781404622,1.0976940149326175,1.8185952556975726,9.60833333333333,3.6723559999999997,1.9487887505713217,1.8026943999999996
Unemployment,3.683333,RealGDP,1.84208,Core CPI,2.182359,Core PCE,1.45028728412906,3.7930555,2.077568,2.1745334,1.4416926,3.7036455650000026,1.9037950000000021,2.1705170130001847,1.4605232953966603,3.710648684094153,1.5779237084569653,2.597659924956808,1.358877678347456,3.7666666000000006,1.84208,2.182359,1.3970631306196881
Unemployment,0.0,RealGDP,1.71142,Core CPI,1.633581,Core PCE,2.009623,0.010314196,2.6169612,1.8066355,1.9954484,0.29466664000000004,2.198770500000003,1.7760362838158417,1.9751349000000022,2.8192380511828183,1.7766515434825747,2.077497634746912,1.8457944958710657,0.0,1.835672,2.1591746,2.009623
Unemployment,8.93333333333333,RealGDP,3.07551,Core CPI,2.17432412557292,Core PCE,1.57823742497407,8.820635,1.8167217,2.132743,1.599875,8.684749996666651,1.7387018000000019,2.1590366095818267,1.570560416523373,7.734235120010641,2.4240573879724607,1.7174668413957779,1.7415013269577226,8.93333333333333,1.968428,2.17432412557292,1.57823742497407
Unemployment,0.0,RealGDP,1.87618,Core CPI,1.99419965387277,Core PCE,1.1841665165822,-0.0048273895,1.738751,2.0216787,1.3271583,0.0,1.6852711000000022,1.9705105020737097,1.3351013452425275,0.7766852832202993,1.2646750282459864,2.6217281203108342,1.5033857238393216,0.0,1.8761800000000002,1.670623363479328,1.290614823600944
Unemployment,6.15833333333333,RealGDP,2.56377,Core CPI,1.75022285064397,Core PCE,1.52903905586508,6.1710095,2.3902934,1.7926915,1.5558491,6.158333333333315,2.5292058000000033,1.6443068163212373,1.4904101846184552,4.870753430986635,1.5039085529972898,1.7221497734194866,1.305489518212866,6.15833333333333,2.56377,1.3931829759575056,1.52903905586508
Unemployment,8.108333,RealGDP,1.84208,Core CPI,1.7271000610448,Core PCE,8.108333,8.1388855,1.7796391,1.7956496,8.124792,8.108333000000012,1.842080000000002,1.7995001106866249,8.108333000000009,4.810347089678981,2.1188379657480834,1.6682605973634015,2.8337489069361768,5.4949997999999995,1.84208,1.7805199796103939,8.108333
Unemployment,0.0,RealGDP,1.55083,Core CPI,2.191476,Core PCE,0.923599155883825,0.46384624,1.6809115,2.1493394,0.92954093,1.5405832699999997,1.55083,2.2153064690476154,0.929653554883637,2.105892059895524,1.2137495930543212,2.1460792355823717,1.4776624904112765,0.0,1.55083,2.2311148,0.923599155883825
Unemployment,8.075,RealGDP,1.87618,Core CPI,2.191476,Core PCE,2.25317372895313,7.9840136,2.110613,2.1701021,1.9625474,8.33566666666667,2.1306654000000034,2.1878660467900377,1.9794679273734155,7.159319674423553,1.284642060163403,2.1914070684895997,2.018413949446627,7.644999999999998,1.8761800000000002,2.1896526,1.9756337303142981
Unemployment,4.875,RealGDP,1.71142,Core CPI,2.290573,Core PCE,1.92555704965729,4.7653837,2.077268,2.2656186,1.7303716,4.967749999999996,1.8526175000000018,2.251191823943778,1.7500063766702316,3.3417481990683626,1.9513740593882698,2.1300323575497497,1.524190430181707,4.56,1.9842380000000002,2.1591746,1.5247738921479042
Unemployment,7.35833333333333,RealGDP,2.16118,Core CPI,1.75022285064397,Core PCE,1.45028728412906,7.832103,2.6035004,1.7998255,1.5191199,8.02625000000001,2.6519728600000048,1.6949903344349389,1.4618027968051106,8.216374791615717,1.7199194000491795,1.420124041814054,1.594443464916905,7.931666666666667,2.529592,1.7502228506439699,1.45028728412906
Unemployment,4.875,RealGDP,4.75324,Core CPI,2.17432412557292,Core PCE,2.009623,4.9411244,4.618781,2.1286519,1.9545007,4.9445,4.7097472000000025,2.153047495919022,1.9842858700000028,5.6429550946418665,3.841200250523257,1.4530517547701276,1.5610583284344077,5.115,4.644508,1.91986336061555,1.9372311999999998
Unemployment,0.0,RealGDP,3.07551,Core CPI,1.633581,Core PCE,1.52903905586508,-0.06298917,2.316089,1.6546483,1.4807676,0.0,2.114234400000002,1.6335810000000008,1.5298301851809872,3.2123540918036504,1.7205092689535286,2.3646771601249643,1.2338181815885374,0.0,1.71142,1.633581,1.5411529264614678
Unemployment,8.93333333333333,RealGDP,3.7989,Core CPI,1.75022285064397,Core PCE,1.55932373235605,8.279329,3.879378,1.5049357,1.4483134,8.223750000000006,3.787487200000003,1.374641740422554,1.566262232322022,7.419795272653754,3.2658149941702312,1.343334529580904,2.032208066126497,7.644999999999998,3.741762,1.5292927858078431,1.6980937316754658
Unemployment,8.93333333333333,RealGDP,2.99646,Core CPI,1.72314678876611,Core PCE,8.108333,8.924805,2.642959,1.9135706,8.058585,8.898999999999981,2.6942071214285743,1.8983114787583388,8.108333000000009,8.090123851628135,2.4891847009095773,1.699452219879058,2.4083291414636188,9.00333333333333,2.746758,1.9038308970960618,8.108333
Unemployment,6.15833333333333,RealGDP,1.7417,Core CPI,1.7271000610448,Core PCE,1.57823742497407,6.2190866,1.9316722,1.7549886,1.7697735,6.122166666666649,1.6062727000000003,1.728647023388761,1.796061264578718,5.620822770160974,2.1689599627667073,1.9892682026392734,1.4912400818224052,6.15833333333333,1.9655999999999998,1.7255187521333237,1.8075256771894899
Unemployment,4.35,RealGDP,3.52244,Core CPI,2.290573,Core PCE,1.80752567718949,4.750003,3.226174,2.2704117,1.938804,4.499000000000005,3.334353200000001,2.2697626299999967,1.8575687654661286,3.427880157632085,2.727274659148012,1.9818682930948697,1.469523111398586,4.35,3.5534779999999997,2.2509342,1.8547382261766099
Unemployment,6.15833333333333,RealGDP,4.02883,Core CPI,2.191476,Core PCE,1.57823742497407,6.288882,4.09507,2.2033906,1.6893823,6.168666666666649,4.02883000000001,2.2626606783333303,1.6608687283484382,6.212519326152865,2.74631780161286,1.9857809160675366,1.2666142658679647,6.15833333333333,4.02883,2.161156,1.669952725860238
