Unemployment,Unemployment actual,RealGDP,RealGDP actual,Core CPI,Core CPI actual,Core PCE,Core PCE actual,XGBoost Unemployment,XGBoost RealGDP,XGBoost Core CPI,XGBoost Core PCE,Random Forest Unemployment,Random Forest RealGDP,Random Forest Core CPI,Random Forest Core PCE
Unemployment,0.0,RealGDP,2.99646,Core CPI,2.290573,Core PCE,1.1841665165822,0.024528904,2.5253668,2.2846775,1.2772671,0.0,2.6906656666666713,2.2757084499999967,1.2462613623431322
Unemployment,3.891667,RealGDP,4.44722,Core CPI,2.17432412557292,Core PCE,1.1841665165822,3.80988,4.1611395,2.0844913,1.4957124,3.8743058331790046,4.249021000000006,2.1743241255729227,1.3517861901235606
Unemployment,3.683333,RealGDP,4.75324,Core CPI,2.17432412557292,Core PCE,1.647664,3.9159253,4.26636,2.0596323,1.5630707,3.712870092222213,4.158767999999994,1.9611152785272923,1.6402698995429366
Unemployment,8.108333,RealGDP,2.99646,Core CPI,2.290573,Core PCE,1.664742,8.112351,0.9778419,2.2112062,1.715864,8.10833299999998,0.3552064999999999,2.2212050999999966,1.7223636666666637
Unemployment,4.35,RealGDP,4.75324,Core CPI,2.290573,Core PCE,1.55932373235605,4.3588705,4.604209,2.2283092,1.9088436,4.350000000000014,4.530313000000001,2.2182321899999966,1.7038758149804452
Unemployment,3.891667,RealGDP,2.33268,Core CPI,1.72314678876611,Core PCE,1.647664,3.805668,2.5955293,1.8988413,1.824603,3.8316397805555478,2.365797756249998,1.9353441601651062,1.712244869215457
Unemployment,9.60833333333333,RealGDP,4.12748,Core CPI,1.72314678876611,Core PCE,2.25317372895313,9.589669,4.201133,1.7203854,1.9791117,9.608333333333347,4.127479999999993,1.7243209106328832,2.1490962294635687
Unemployment,4.35,RealGDP,3.7725,Core CPI,2.191476,Core PCE,1.45028728412906,4.4270935,4.150257,2.1543515,1.4104006,4.356203705555569,4.263780500000006,2.1812257999999964,1.2107785933368835
Unemployment,5.275,RealGDP,1.87618,Core CPI,1.7271000610448,Core PCE,1.45028728412906,5.283321,1.6607434,1.8386925,1.4002694,5.274999999999984,1.5365267500000026,1.9269727783688384,1.4369812457517142
Unemployment,4.875,RealGDP,1.84208,Core CPI,1.94900192417855,Core PCE,1.82189194515254,4.6432166,1.8749845,1.9801897,1.507916,4.648458333333335,1.9446445625000046,2.0323711386944696,1.5508586380101455
Unemployment,8.93333333333333,RealGDP,2.8612,Core CPI,1.72314678876611,Core PCE,1.52903905586508,9.184145,2.8638577,1.7383697,1.5884444,9.348935185185182,2.861199999999997,1.7239269011624403,1.5453423067093872
Unemployment,9.60833333333333,RealGDP,-3.48626,Core CPI,2.18235875482555,Core PCE,1.57823742497407,9.331258,-3.5220232,2.1595328,1.7411435,9.539814814814825,-3.486260000000012,2.1729507997779067,1.6736655209665685
Unemployment,4.875,RealGDP,2.85497,Core CPI,1.75022285064397,Core PCE,2.009623,4.582253,2.8976195,1.7955594,1.9449543,4.554398148148158,2.854969999999993,1.750222850643971,1.9847562311029698
Unemployment,7.35833333333333,RealGDP,3.7725,Core CPI,0.0,Core PCE,2.009623,7.2891345,4.252549,-0.006527262,1.9110801,7.334166666666676,4.236370000000006,0.0,1.995993275000003
Unemployment,9.60833333333333,RealGDP,3.52244,Core CPI,1.94900192417855,Core PCE,1.664742,9.527287,3.3615375,2.0066621,1.8357363,9.608333333333347,3.3444635625000068,2.0420250568193445,1.7945204188376884
Unemployment,3.683333,RealGDP,1.84208,Core CPI,2.182359,Core PCE,1.45028728412906,3.7595108,1.9508206,2.1533628,1.3730097,3.7059920744907338,1.8969053125000048,2.164217117213924,1.4598835446924334
Unemployment,0.0,RealGDP,1.71142,Core CPI,1.633581,Core PCE,2.009623,0.045882493,2.582304,1.7604767,1.8965963,0.45018514444444446,2.2153041874999997,1.7427893297954835,1.9636388666666689
Unemployment,8.93333333333333,RealGDP,3.07551,Core CPI,2.17432412557292,Core PCE,1.57823742497407,8.752882,1.77097,2.1615636,1.5306858,8.714166664814826,1.7285279375000009,2.1284615775996345,1.5569124014999047
